,ori,lo_transittime
0,6.0,13.0
1,11.0,24.0
2,12.0,17.0
3,25.0,14.0
4,27.0,29.0
5,33.0,10.0
6,35.0,12.0
7,36.0,18.0
8,37.0,18.0
9,38.0,14.0
10,41.0,21.0
11,44.0,12.0
12,57.0,19.0
13,68.0,11.0
14,80.0,12.0
15,86.0,15.0
16,101.0,27.0
17,105.0,22.0
18,130.0,27.0
19,135.0,15.0
20,140.0,17.0
21,142.0,21.0
22,146.0,7.0
23,156.0,5.0
24,158.0,18.0
25,162.0,9.0
26,163.0,29.0
27,164.0,8.0
28,166.0,14.0
29,178.0,10.0
30,179.0,15.0
31,182.0,9.0
32,186.0,25.0
33,188.0,18.0
34,194.0,8.0
35,197.0,11.0
36,198.0,8.0
37,199.0,24.0
38,201.0,7.0
39,202.0,14.0
40,205.0,14.0
41,213.0,12.0
42,216.0,22.0
43,218.0,24.0
44,221.0,15.0
45,242.0,16.0
46,245.0,11.0
47,247.0,12.0
48,253.0,7.0
49,256.0,9.0
50,260.0,7.0
51,261.0,5.0
52,264.0,10.0
53,265.0,27.0
54,266.0,9.0
55,270.0,10.0
56,271.0,15.0
57,275.0,12.0
58,276.0,15.0
59,280.0,5.0
60,281.0,22.0
61,282.0,20.0
62,284.0,7.0
63,290.0,23.0
64,301.0,12.0
65,304.0,22.0
66,312.0,26.0
67,313.0,11.0
68,314.0,7.0
69,316.0,22.0
70,317.0,15.0
71,319.0,13.0
72,325.0,15.0
73,329.0,3.0
74,339.0,21.0
75,342.0,29.0
76,345.0,27.0
77,348.0,26.0
78,358.0,17.0
79,367.0,13.0
80,370.0,9.0
81,373.0,9.0
82,377.0,24.0
83,384.0,10.0
84,391.0,18.0
85,395.0,22.0
86,401.0,15.0
87,402.0,22.0
88,405.0,9.0
89,409.0,16.0
90,416.0,18.0
91,422.0,4.0
92,432.0,15.0
93,433.0,7.0
94,448.0,23.0
95,459.0,14.0
96,462.0,21.0
97,464.0,19.0
98,470.0,16.0
99,472.0,11.0
100,473.0,9.0
101,482.0,16.0
102,490.0,11.0
103,491.0,9.0
104,496.0,14.0
105,509.0,21.0
106,517.0,11.0
107,523.0,15.0
108,529.0,12.0
109,531.0,17.0
110,532.0,14.0
111,534.0,10.0
112,542.0,12.0
113,543.0,14.0
114,549.0,20.0
115,554.0,2.0
116,558.0,25.0
117,561.0,12.0
118,582.0,7.0
119,583.0,16.0
120,585.0,16.0
121,587.0,13.0
122,590.0,18.0
123,592.0,13.0
124,594.0,22.0
125,598.0,29.0
126,605.0,23.0
127,617.0,10.0
128,622.0,21.0
129,627.0,20.0
130,632.0,15.0
131,633.0,20.0
132,640.0,21.0
133,641.0,20.0
134,647.0,14.0
135,654.0,10.0
136,659.0,16.0
137,665.0,23.0
138,669.0,8.0
139,678.0,29.0
140,681.0,17.0
141,691.0,18.0
142,693.0,11.0
143,703.0,12.0
144,704.0,9.0
145,712.0,11.0
146,717.0,29.0
147,732.0,6.0
148,737.0,9.0
149,738.0,9.0
150,743.0,7.0
151,744.0,4.0
152,746.0,8.0
153,749.0,3.0
154,753.0,21.0
155,754.0,24.0
156,755.0,24.0
157,757.0,21.0
158,764.0,5.0
159,765.0,11.0
160,767.0,1.0
161,771.0,23.0
162,774.0,26.0
163,775.0,13.0
164,779.0,9.0
165,786.0,21.0
166,790.0,19.0
167,791.0,13.0
168,800.0,10.0
169,807.0,20.0
170,812.0,22.0
171,813.0,14.0
172,824.0,6.0
173,827.0,12.0
174,828.0,17.0
175,832.0,12.0
176,833.0,16.0
177,838.0,5.0
178,845.0,11.0
179,851.0,12.0
180,862.0,14.0
181,864.0,29.0
182,868.0,19.0
183,869.0,6.0
184,871.0,20.0
185,872.0,13.0
186,873.0,15.0
187,883.0,24.0
188,886.0,12.0
189,892.0,10.0
190,896.0,20.0
191,898.0,10.0
192,900.0,5.0
193,902.0,26.0
194,904.0,10.0
195,905.0,7.0
196,909.0,17.0
197,916.0,10.0
198,920.0,12.0
199,925.0,13.0
200,928.0,8.0
201,932.0,13.0
202,935.0,12.0
203,939.0,9.0
204,942.0,13.0
205,943.0,26.0
206,951.0,15.0
207,953.0,13.0
208,965.0,14.0
209,970.0,9.0
210,973.0,4.0
211,977.0,8.0
212,981.0,25.0
213,988.0,14.0
214,991.0,4.0
215,992.0,7.0
216,993.0,6.0
217,995.0,12.0
218,1014.0,21.0
219,1022.0,12.0
220,1023.0,18.0
221,1027.0,17.0
222,1033.0,10.0
223,1048.0,15.0
224,1055.0,18.0
225,1056.0,22.0
226,1059.0,16.0
227,1060.0,11.0
228,1061.0,9.0
229,1064.0,13.0
230,1076.0,18.0
231,1077.0,21.0
232,1083.0,21.0
233,1086.0,20.0
234,1091.0,27.0
235,1095.0,14.0
236,1100.0,7.0
237,1106.0,11.0
238,1108.0,20.0
239,1109.0,12.0
240,1110.0,18.0
241,1114.0,10.0
242,1116.0,8.0
243,1126.0,18.0
244,1128.0,7.0
245,1132.0,15.0
246,1134.0,15.0
247,1135.0,18.0
248,1142.0,9.0
249,1146.0,11.0
250,1159.0,18.0
251,1164.0,7.0
252,1168.0,23.0
253,1171.0,8.0
254,1175.0,9.0
255,1182.0,14.0
256,1184.0,17.0
257,1197.0,9.0
258,1201.0,15.0
259,1215.0,19.0
260,1219.0,23.0
261,1221.0,10.0
262,1233.0,11.0
263,1234.0,16.0
264,1235.0,13.0
265,1239.0,10.0
266,1257.0,12.0
267,1260.0,11.0
268,1261.0,22.0
269,1264.0,11.0
270,1270.0,29.0
271,1282.0,5.0
272,1283.0,12.0
273,1285.0,9.0
274,1286.0,15.0
275,1296.0,19.0
276,1297.0,5.0
277,1298.0,7.0
278,1301.0,26.0
279,1312.0,17.0
280,1321.0,14.0
281,1325.0,7.0
282,1326.0,5.0
283,1336.0,17.0
284,1339.0,8.0
285,1350.0,17.0
286,1371.0,24.0
287,1372.0,12.0
288,1379.0,17.0
289,1400.0,7.0
290,1402.0,9.0
291,1404.0,17.0
292,1406.0,19.0
293,1407.0,10.0
294,1409.0,29.0
295,1411.0,21.0
296,1413.0,12.0
297,1414.0,14.0
298,1421.0,9.0
299,1423.0,21.0
300,1432.0,7.0
301,1442.0,15.0
302,1451.0,12.0
303,1460.0,16.0
304,1463.0,21.0
305,1467.0,8.0
306,1473.0,27.0
307,1476.0,12.0
308,1477.0,17.0
309,1488.0,7.0
310,1497.0,7.0
311,1504.0,4.0
312,1506.0,16.0
313,1517.0,10.0
314,1518.0,13.0
315,1526.0,11.0
316,1527.0,25.0
317,1531.0,9.0
318,1533.0,27.0
319,1536.0,9.0
320,1538.0,20.0
321,1541.0,7.0
322,1543.0,9.0
323,1564.0,18.0
324,1565.0,5.0
325,1566.0,9.0
326,1567.0,20.0
327,1570.0,15.0
328,1574.0,26.0
329,1575.0,13.0
330,1590.0,28.0
331,1591.0,4.0
