,ori,hi_access
0,151645.0,22.0
1,169890.0,22.0
2,110056.0,23.0
3,61023.0,22.0
4,1488.0,22.0
5,20798.0,22.0
6,91971.0,22.0
7,127395.0,22.0
8,122603.0,22.0
9,180382.0,22.0
10,83206.0,23.0
11,5407.0,21.0
12,70060.0,18.0
13,87381.0,20.0
14,58458.0,17.0
15,52544.0,20.0
16,161680.0,21.0
17,175931.0,21.0
18,150530.0,20.0
19,58247.0,18.0
20,117228.0,20.0
21,26439.0,20.0
22,179474.0,17.0
23,160927.0,17.0
24,122938.0,20.0
25,183976.0,18.0
26,147887.0,17.0
27,19834.0,17.0
28,78724.0,20.0
29,132961.0,17.0
30,107014.0,17.0
31,118518.0,20.0
32,150918.0,17.0
33,101702.0,20.0
34,177528.0,17.0
35,89664.0,19.0
36,79131.0,20.0
37,72013.0,20.0
38,20948.0,17.0
39,73068.0,17.0
40,144089.0,20.0
41,117060.0,20.0
42,51139.0,19.0
43,12365.0,20.0
44,132494.0,21.0
45,85911.0,21.0
46,154834.0,22.0
47,150148.0,18.0
48,53329.0,18.0
49,134109.0,20.0
50,115969.0,20.0
51,89804.0,18.0
52,158253.0,17.0
53,179770.0,21.0
54,105728.0,18.0
55,121141.0,20.0
56,121733.0,21.0
57,146763.0,21.0
58,150018.0,20.0
59,145654.0,20.0
60,83987.0,20.0
61,80763.0,20.0
62,32607.0,18.0
63,5685.0,20.0
64,135344.0,19.0
65,120738.0,18.0
66,87088.0,20.0
67,28615.0,21.0
68,162040.0,22.0
69,76063.0,22.0
70,61207.0,22.0
71,141979.0,22.0
72,187739.0,18.0
73,69483.0,20.0
74,185012.0,19.0
75,24275.0,22.0
76,27678.0,22.0
77,155621.0,16.0
78,152875.0,22.0
79,47282.0,19.0
80,4366.0,18.0
81,135667.0,21.0
82,96194.0,22.0
83,73893.0,21.0
84,164850.0,22.0
85,112377.0,21.0
86,135206.0,19.0
87,105661.0,20.0
88,90572.0,18.0
89,78853.0,19.0
90,117924.0,16.0
91,154496.0,18.0
92,128130.0,22.0
93,150950.0,22.0
94,175919.0,18.0
95,71582.0,19.0
96,43689.0,18.0
97,132359.0,21.0
98,61537.0,20.0
99,51880.0,18.0
100,41138.0,20.0
101,53962.0,18.0
102,188228.0,22.0
103,157175.0,19.0
104,85548.0,19.0
105,65438.0,21.0
106,168543.0,22.0
107,126573.0,22.0
108,32195.0,21.0
109,33035.0,21.0
110,159814.0,21.0
111,27225.0,21.0
112,87471.0,20.0
113,131540.0,19.0
114,173418.0,21.0
115,151447.0,21.0
116,120194.0,20.0
117,148759.0,22.0
118,48349.0,20.0
119,77332.0,22.0
120,19089.0,16.0
121,115419.0,22.0
122,175862.0,19.0
123,82045.0,17.0
124,180758.0,19.0
125,184642.0,22.0
126,35623.0,18.0
127,186155.0,20.0
128,81534.0,19.0
129,83892.0,17.0
130,123036.0,21.0
131,10576.0,19.0
132,155656.0,20.0
133,124376.0,21.0
134,100672.0,20.0
135,139874.0,22.0
136,73532.0,17.0
137,36304.0,22.0
138,155242.0,21.0
139,108989.0,18.0
140,42593.0,17.0
141,11916.0,20.0
142,106688.0,16.0
143,59278.0,21.0
144,182071.0,18.0
145,150723.0,17.0
146,157658.0,18.0
147,1834.0,18.0
148,172522.0,17.0
149,165671.0,23.0
150,91917.0,21.0
151,53352.0,16.0
152,128879.0,20.0
153,180531.0,21.0
154,118888.0,16.0
155,163631.0,18.0
156,30042.0,18.0
157,166305.0,15.0
158,124549.0,16.0
159,117869.0,20.0
160,162143.0,19.0
161,5779.0,18.0
162,179854.0,18.0
163,155994.0,19.0
164,41674.0,22.0
165,49935.0,19.0
166,83149.0,17.0
167,55194.0,19.0
168,149303.0,21.0
169,87806.0,20.0
170,63409.0,17.0
171,168285.0,15.0
172,134472.0,18.0
173,75619.0,18.0
174,150926.0,21.0
175,26562.0,15.0
176,148668.0,17.0
177,106421.0,20.0
178,166950.0,16.0
179,179461.0,19.0
180,58892.0,18.0
181,143464.0,16.0
182,111067.0,15.0
183,190211.0,18.0
184,42888.0,20.0
185,129945.0,19.0
186,21909.0,19.0
187,183322.0,20.0
188,164986.0,19.0
189,49723.0,18.0
190,110749.0,21.0
191,55545.0,17.0
192,72020.0,18.0
193,44720.0,20.0
194,8639.0,15.0
195,75600.0,18.0
196,148149.0,19.0
197,172313.0,15.0
198,61644.0,19.0
199,140313.0,19.0
200,86378.0,19.0
201,2162.0,19.0
202,90000.0,18.0
203,159047.0,19.0
204,57589.0,20.0
205,130066.0,21.0
206,152329.0,15.0
207,175233.0,18.0
208,64098.0,15.0
209,30875.0,19.0
210,73907.0,19.0
211,43984.0,16.0
212,16928.0,21.0
213,127180.0,17.0
214,127323.0,19.0
215,118454.0,17.0
216,17687.0,18.0
217,174103.0,17.0
218,97493.0,18.0
219,143154.0,18.0
220,73398.0,21.0
221,159438.0,18.0
222,129138.0,19.0
223,80509.0,15.0
224,18667.0,21.0
225,4070.0,20.0
226,56537.0,19.0
227,16092.0,17.0
228,117248.0,15.0
229,113306.0,21.0
230,140956.0,20.0
231,160640.0,15.0
232,95079.0,18.0
233,112585.0,22.0
234,163462.0,21.0
235,73388.0,21.0
236,137200.0,18.0
237,155637.0,19.0
238,92975.0,20.0
239,178487.0,21.0
240,34607.0,18.0
241,147277.0,20.0
242,46194.0,21.0
243,86659.0,20.0
244,146964.0,18.0
245,186677.0,18.0
246,37526.0,15.0
247,149534.0,17.0
248,39276.0,15.0
249,121436.0,19.0
250,7125.0,18.0
251,30390.0,15.0
252,180089.0,18.0
253,6049.0,14.0
254,65565.0,18.0
255,93086.0,14.0
256,261.0,16.0
257,146551.0,17.0
258,130991.0,18.0
259,124726.0,20.0
260,99580.0,16.0
261,189820.0,14.0
262,73281.0,17.0
263,162113.0,18.0
264,84397.0,22.0
265,1402.0,17.0
266,124937.0,14.0
267,45955.0,19.0
268,48533.0,17.0
269,22035.0,15.0
270,120486.0,16.0
271,18611.0,18.0
