ori,lo_transittime
0,22.94
6,27.65
8,25.23
25,13.45
35,12.0
38,21.45
41,14.61
52,3.57
56,20.94
57,8.62
65,17.94
68,22.28
80,21.83
92,18.74
99,21.86
105,20.42
139,19.39
140,24.47
142,19.42
156,22.83
158,19.33
163,18.91
164,7.39
166,21.39
168,13.72
170,21.94
178,19.42
179,16.83
182,7.42
191,25.31
194,20.68
197,10.62
198,26.27
202,15.42
205,17.49
210,3.61
212,24.71
213,7.38
218,21.52
221,14.08
230,13.26
239,12.4
247,12.33
253,14.83
256,23.34
260,10.15
261,7.16
270,26.32
276,22.38
280,19.68
281,20.49
282,27.62
290,11.62
312,29.08
314,15.51
316,20.99
324,22.17
339,13.28
367,11.99
370,15.45
372,15.47
377,22.53
384,11.45
391,18.02
395,22.06
401,18.83
409,18.33
433,12.44
459,15.28
462,28.45
464,17.62
472,9.99
473,17.83
481,21.64
483,15.85
504,24.19
509,27.27
529,16.98
531,21.1
534,16.83
542,11.0
561,16.49
571,20.94
581,20.1
582,21.48
583,20.74
584,16.24
585,18.46
592,15.35
605,22.96
622,10.08
627,18.62
629,9.59
633,22.03
639,28.51
669,10.06
693,22.45
696,20.32
704,19.49
718,10.42
731,18.22
732,14.59
737,12.27
743,24.72
744,4.13
749,10.61
751,27.53
753,18.49
754,14.86
765,21.46
767,8.33
775,20.83
776,16.61
779,19.51
791,11.79
800,18.83
807,11.66
813,17.65
824,17.59
827,10.45
833,19.16
845,19.65
850,10.32
868,14.47
872,12.62
873,21.54
883,24.33
886,20.34
890,20.39
892,22.37
896,21.49
897,17.26
898,25.58
900,7.33
909,16.62
916,13.83
920,18.1
925,16.31
928,6.62
935,11.62
943,14.27
944,14.47
953,4.72
964,22.0
965,22.65
977,12.48
993,15.49
995,18.73
1022,17.74
1023,17.62
1027,14.6
1033,17.59
1042,8.65
1048,15.49
1051,18.99
1060,24.51
1061,7.22
1064,12.49
1067,19.94
1076,14.74
1077,8.81
1082,13.73
1083,13.28
1086,21.74
1100,15.07
1108,18.49
1109,15.74
1110,16.1
1111,10.08
1114,12.16
1124,22.96
1128,6.62
1132,15.45
1142,23.79
1164,15.27
1174,12.0
1175,18.35
1203,10.47
1215,11.92
1219,24.61
1221,20.06
1233,9.84
1234,14.99
1248,19.86
1270,28.62
1272,27.6
1282,11.59
1283,21.48
1285,14.83
1286,23.07
1292,18.17
1296,10.66
1297,18.34
1308,22.71
1312,26.54
1321,12.99
1326,3.65
1333,11.91
1336,20.39
1339,6.84
1350,8.44
1400,5.42
1402,17.92
1404,16.15
1406,17.42
1407,24.47
1413,15.45
1414,19.16
1432,3.6
1463,13.28
1476,13.74
1483,25.27
1487,27.5
1488,9.03
1489,10.0
1494,14.27
1497,15.49
1504,7.59
1517,15.62
1518,19.1
1525,28.78
1531,18.42
1536,9.59
1538,28.34
1541,12.05
1543,9.62
1564,21.84
1565,19.86
1566,19.37
1575,27.21
1580,10.54
1591,24.51
1594,10.15
1601,18.26
1621,26.13
1630,14.9
1635,19.34
1644,21.08
1645,19.39
1648,9.42
1650,25.48
1653,17.03
1659,24.64
1660,6.0
1674,13.42
1677,17.55
1679,6.46
1681,17.86
1697,12.88
1703,13.88
1707,22.58
1708,7.51
1719,16.88
1724,16.89
1725,19.87
1736,28.02
1747,18.33
1752,20.73
1756,10.59
1758,22.39
1763,25.98
1772,22.74
1777,11.48
1779,7.15
1782,13.87
1789,19.34
1804,22.62
1811,13.86
1813,12.06
1818,16.74
1834,5.03
1853,12.61
1857,22.45
1861,11.49
1869,17.74
1886,7.84
1888,21.3
1891,24.32
1906,14.23
1911,24.62
1929,15.52
1943,27.42
1952,16.16
1967,13.91
1968,12.28
1973,13.06
1981,19.33
1988,11.04
2001,17.87
2007,8.99
2009,10.86
2017,20.35
2021,22.65
2027,13.35
2034,19.11
2036,6.8
2039,19.19
2044,11.6
2046,22.86
2048,23.62
2050,18.58
2053,18.39
2061,16.37
2073,19.39
2075,13.48
2082,22.47
2092,12.91
2093,20.08
2123,13.68
2126,18.65
2132,19.27
2133,18.06
2158,14.19
2160,22.96
2162,5.41
2182,19.9
2183,28.42
2184,14.98
2197,22.96
2206,24.87
2220,18.41
2223,6.08
2224,21.59
2226,3.42
2231,19.74
2234,23.06
2237,9.91
2250,15.56
2256,21.59
2266,26.27
2268,23.45
2270,18.99
2286,8.24
2288,20.1
2301,14.17
2305,27.27
2307,18.08
2309,11.08
2314,16.68
2315,16.54
2329,14.59
2330,20.45
2332,23.41
2337,26.62
2338,16.24
2349,15.08
2350,21.2
2353,24.76
2354,23.61
2368,7.42
2372,12.33
2375,15.74
2376,15.35
2378,20.59
2410,7.15
2416,21.44
2417,10.78
2424,17.97
2431,18.32
2434,24.91
2437,9.42
2439,20.22
2441,26.27
2453,12.74
2459,15.28
2460,19.37
2461,17.62
2463,20.36
2475,24.83
2489,6.77
2493,12.73
2509,12.61
2517,29.24
2520,14.33
2521,15.29
2529,8.61
2535,14.73
2537,24.47
2542,16.44
2557,9.59
2561,22.22
2564,22.06
2568,26.31
2569,28.62
2589,24.83
2598,14.28
2599,15.66
2603,12.86
2606,16.88
2608,18.12
2610,10.44
2615,19.28
2627,13.44
2637,9.36
2643,16.37
2644,26.96
2645,17.06
2650,20.62
2671,21.33
2675,9.32
2682,14.42
2683,18.24
2684,10.97
2688,26.75
2694,7.33
2710,28.53
2711,13.17
2717,10.73
2721,10.47
2722,13.32
2740,19.74
2749,22.62
2755,18.06
2769,20.17
2799,22.33
2817,27.84
2824,18.39
2826,5.78
2850,17.41
2860,10.85
2862,2.87
2865,13.03
2867,21.08
2878,15.08
2880,8.02
2881,17.73
2889,21.46
2909,17.03
2915,15.28
2953,17.44
2955,17.73
2961,15.49
2971,18.49
2982,12.66
2989,16.5
2994,27.43
2995,20.58
2997,26.87
3008,20.87
3012,14.32
3022,21.33
3023,11.41
3026,26.62
3034,23.83
3050,20.13
3057,22.16
3061,10.49
3066,19.74
3076,5.24
3077,24.43
3088,10.83
3093,17.73
3108,20.08
3111,14.27
3112,29.39
3114,19.03
3116,15.49
3122,17.39
3126,25.61
3136,15.74
3138,9.74
3140,27.84
3142,25.84
3143,27.0
3165,25.59
3167,15.44
3171,23.06
3174,24.94
3177,11.71
3179,20.84
3187,13.42
3188,12.33
3190,7.82
3191,12.05
3192,12.61
3196,25.54
3203,14.15
3212,27.33
3215,17.9
3217,20.49
3227,10.06
3243,5.62
3244,16.99
3245,19.91
3248,9.87
3251,16.02
3259,19.07
3263,4.74
3271,15.51
3275,5.28
3277,24.62
3281,23.86
3285,19.27
3287,10.24
3293,15.28
3294,16.26
3295,25.03
3302,18.16
3307,9.2
3322,25.61
3331,16.83
3343,24.72
3344,6.42
3347,16.05
3350,21.74
3357,14.0
3363,15.83
3383,13.11
3388,22.87
3416,24.45
3442,22.33
3457,20.07
3463,18.97
3467,22.74
3475,10.08
3487,17.48
3489,21.37
3498,22.96
3504,23.61
3516,2.4
3520,11.37
3521,7.12
3527,7.6
3529,19.42
3532,17.15
3541,24.72
3542,21.74
3550,20.76
3551,25.46
3553,14.37
3558,18.42
3559,12.46
3560,26.08
3564,23.37
3577,18.86
3598,25.94
3604,25.96
3607,14.45
3623,17.26
3640,20.35
3644,12.28
3648,9.94
3654,21.08
3655,20.19
3667,24.86
3668,15.16
3678,22.62
3694,23.84
3695,21.41
3706,28.54
3712,25.84
3718,17.42
3719,17.87
3721,28.98
3723,11.83
3724,16.33
3741,19.49
3743,14.58
3750,12.14
3751,16.59
3753,17.58
3755,9.87
3756,11.62
3765,23.83
3772,21.95
3774,12.87
3784,19.02
3797,16.37
3800,26.34
3803,11.95
3811,26.58
3814,22.49
3815,13.31
3820,22.46
3822,14.42
3826,25.87
3834,15.47
3841,10.27
3847,13.84
3860,7.2
3866,28.73
3868,13.83
3876,13.21
3881,18.65
3884,23.83
3888,14.74
3889,21.44
3892,27.84
3893,24.72
3899,15.83
3924,18.02
3927,19.49
3943,15.03
3950,24.48
3951,23.98
3953,18.28
3956,18.54
3958,27.27
3971,27.62
3972,26.2
3977,28.62
3982,18.83
3987,26.5
3988,17.68
3993,18.86
3997,15.49
4023,24.27
4053,14.86
4063,19.83
4070,7.37
4075,20.1
4098,27.27
4104,23.94
4107,22.42
4112,15.32
4118,24.38
4132,21.97
4136,17.62
4141,9.66
4153,16.62
4157,24.49
4170,24.58
4175,17.44
4182,15.5
4183,11.56
4188,8.78
4201,15.16
4205,14.49
4213,21.83
4215,15.45
4224,18.37
4226,10.39
4228,21.27
4241,24.08
4243,17.62
4246,19.1
4248,10.61
4251,17.44
4252,18.51
4255,19.1
4262,16.33
4273,11.49
4274,15.62
4282,15.49
4284,15.35
4285,11.84
4294,21.39
4296,13.33
4297,21.62
4310,10.59
4317,15.16
4318,16.26
4346,25.17
4347,18.17
4350,24.94
4366,5.83
4369,14.08
4378,20.63
4382,19.49
4384,10.74
4389,12.68
4395,28.72
4405,11.91
4412,17.94
4415,24.98
4423,11.73
4430,22.86
4434,15.95
4445,17.55
4447,25.08
4452,7.28
4455,18.39
4480,12.49
4483,15.33
4486,23.62
4492,12.99
4501,18.62
4504,24.33
4507,17.86
4508,17.08
4529,17.42
4530,5.79
4535,12.17
4566,12.47
4567,23.27
4573,11.06
4581,18.35
4588,10.1
4591,16.58
4595,17.27
4603,10.82
4604,18.74
4605,19.62
4607,17.08
4612,23.08
4615,20.84
4620,26.87
4638,22.89
4639,22.08
4640,21.62
4650,13.49
4652,24.24
4653,15.62
4659,23.76
4661,18.86
4667,13.32
4669,13.73
4675,24.33
4677,11.61
4679,19.33
4685,11.61
4687,17.89
4689,21.62
4691,21.03
4693,10.06
4703,15.65
4704,21.27
4711,24.84
4714,15.5
4717,22.96
4728,27.27
4735,13.71
4750,13.28
4751,20.87
4772,12.39
4780,21.23
4792,20.29
4793,15.16
4812,22.62
4821,17.08
4824,22.07
4837,20.45
4839,16.39
4846,11.44
4847,16.84
4849,18.74
4852,7.74
4854,10.16
4857,24.84
4876,14.19
4882,8.03
4891,24.71
4892,19.27
4893,19.39
4897,23.27
4906,21.73
4909,14.99
4915,12.91
4928,19.94
4930,6.42
4931,16.83
4936,7.62
4945,11.61
4948,4.61
4951,25.65
4953,21.62
4954,14.1
