ori,hi_access
0,1.0
6,1.0
8,1.0
25,1.0
35,2.0
38,2.0
41,2.0
52,3.0
56,1.0
57,2.0
65,2.0
68,1.0
80,5.0
92,1.0
99,1.0
105,2.0
139,2.0
140,2.0
142,2.0
156,6.0
158,1.0
163,1.0
164,4.0
166,3.0
168,2.0
170,1.0
178,7.0
179,7.0
182,2.0
191,1.0
194,2.0
197,2.0
198,2.0
202,2.0
205,2.0
210,1.0
212,2.0
213,3.0
218,1.0
221,2.0
230,1.0
239,1.0
247,2.0
253,6.0
256,2.0
260,1.0
261,7.0
270,4.0
276,2.0
280,2.0
281,2.0
282,2.0
290,2.0
312,2.0
314,6.0
316,1.0
324,1.0
339,2.0
367,1.0
370,1.0
372,3.0
377,1.0
384,3.0
391,2.0
395,3.0
401,7.0
409,3.0
433,1.0
459,1.0
462,1.0
464,2.0
472,1.0
473,7.0
481,1.0
483,1.0
504,2.0
509,2.0
529,2.0
531,2.0
534,6.0
542,3.0
561,2.0
571,1.0
581,3.0
582,2.0
583,1.0
584,1.0
585,2.0
592,2.0
605,2.0
622,2.0
627,2.0
629,1.0
633,2.0
639,1.0
669,5.0
693,3.0
696,1.0
704,5.0
718,2.0
731,1.0
732,9.0
737,2.0
743,4.0
744,1.0
749,7.0
751,1.0
753,1.0
754,1.0
765,4.0
767,3.0
775,6.0
776,1.0
779,4.0
791,1.0
800,6.0
807,1.0
813,2.0
824,6.0
827,1.0
833,6.0
845,3.0
850,1.0
868,2.0
872,2.0
873,3.0
883,1.0
886,2.0
890,2.0
892,5.0
896,2.0
897,2.0
898,4.0
900,1.0
909,2.0
916,7.0
920,3.0
925,2.0
928,3.0
935,2.0
943,2.0
944,2.0
953,3.0
964,1.0
965,2.0
977,3.0
993,5.0
995,2.0
1022,1.0
1023,2.0
1027,1.0
1033,8.0
1042,2.0
1048,4.0
1051,2.0
1060,2.0
1061,1.0
1064,3.0
1067,2.0
1076,1.0
1077,1.0
1082,2.0
1083,1.0
1086,1.0
1100,2.0
1108,3.0
1109,2.0
1110,3.0
1111,2.0
1114,7.0
1124,3.0
1128,2.0
1132,2.0
1142,2.0
1164,2.0
1174,1.0
1175,1.0
1203,3.0
1215,3.0
1219,1.0
1221,4.0
1233,2.0
1234,2.0
1248,1.0
1270,1.0
1272,1.0
1282,7.0
1283,2.0
1285,7.0
1286,2.0
1292,1.0
1296,2.0
1297,2.0
1308,1.0
1312,1.0
1321,2.0
1326,3.0
1333,1.0
1336,2.0
1339,2.0
1350,3.0
1400,3.0
1402,7.0
1404,2.0
1406,1.0
1407,2.0
1413,1.0
1414,6.0
1432,6.0
1463,1.0
1476,1.0
1483,1.0
1487,1.0
1488,7.0
1489,1.0
1494,2.0
1497,5.0
1504,3.0
1517,6.0
1518,2.0
1525,1.0
1531,7.0
1536,6.0
1538,2.0
1541,4.0
1543,2.0
1564,2.0
1565,2.0
1566,7.0
1575,1.0
1580,2.0
1591,1.0
1594,2.0
1601,1.0
1621,1.0
1630,1.0
1635,2.0
1644,2.0
