,ori,lo_transittime
0,0.0,11.0
1,2.0,18.0
2,3.0,22.0
3,4.0,12.0
4,6.0,8.0
5,8.0,25.0
6,12.0,13.0
7,25.0,13.0
8,28.0,23.0
9,33.0,10.0
10,35.0,12.0
11,36.0,19.0
12,38.0,10.0
13,41.0,3.0
14,42.0,5.0
15,44.0,4.0
16,52.0,4.0
17,56.0,14.0
18,57.0,8.0
19,65.0,11.0
20,68.0,22.0
21,70.0,11.0
22,75.0,5.0
23,77.0,13.0
24,79.0,16.0
25,80.0,15.0
26,86.0,15.0
27,92.0,19.0
28,94.0,18.0
29,99.0,3.0
30,101.0,6.0
31,105.0,20.0
32,106.0,28.0
33,109.0,19.0
34,120.0,16.0
35,122.0,8.0
36,134.0,12.0
37,138.0,18.0
38,139.0,19.0
39,140.0,17.0
40,142.0,19.0
41,144.0,19.0
42,146.0,7.0
43,149.0,25.0
44,156.0,6.0
45,158.0,19.0
46,163.0,15.0
47,164.0,7.0
48,166.0,18.0
49,168.0,10.0
50,170.0,11.0
51,174.0,20.0
52,178.0,19.0
53,179.0,17.0
54,182.0,7.0
55,183.0,12.0
56,188.0,6.0
57,191.0,25.0
58,194.0,16.0
59,197.0,11.0
60,198.0,10.0
61,200.0,16.0
62,201.0,11.0
63,202.0,15.0
64,205.0,17.0
65,209.0,25.0
66,210.0,4.0
67,212.0,15.0
68,213.0,7.0
69,216.0,8.0
70,218.0,22.0
71,221.0,14.0
72,230.0,13.0
73,239.0,12.0
74,242.0,28.0
75,245.0,24.0
76,247.0,12.0
77,253.0,11.0
78,256.0,23.0
79,260.0,10.0
80,261.0,7.0
81,264.0,22.0
82,265.0,18.0
83,266.0,8.0
84,270.0,17.0
85,275.0,14.0
86,276.0,22.0
87,277.0,11.0
88,280.0,13.0
89,281.0,20.0
90,282.0,18.0
91,284.0,7.0
92,285.0,13.0
93,290.0,12.0
94,296.0,14.0
95,297.0,18.0
96,301.0,18.0
97,304.0,15.0
98,312.0,18.0
99,313.0,16.0
100,314.0,16.0
101,316.0,21.0
102,322.0,15.0
103,324.0,10.0
104,325.0,18.0
105,329.0,6.0
106,333.0,7.0
107,335.0,15.0
108,336.0,8.0
109,339.0,6.0
110,342.0,22.0
111,343.0,28.0
112,367.0,12.0
113,370.0,13.0
114,372.0,15.0
115,373.0,13.0
116,376.0,19.0
117,377.0,16.0
118,382.0,25.0
119,384.0,11.0
120,391.0,18.0
121,395.0,22.0
122,397.0,22.0
123,399.0,11.0
124,401.0,15.0
125,402.0,9.0
126,405.0,5.0
127,407.0,12.0
128,409.0,18.0
129,416.0,18.0
130,420.0,26.0
131,422.0,11.0
132,433.0,6.0
133,448.0,15.0
134,459.0,15.0
135,462.0,28.0
136,464.0,18.0
137,466.0,21.0
138,470.0,16.0
139,472.0,10.0
140,473.0,16.0
141,481.0,22.0
142,482.0,19.0
143,483.0,16.0
144,490.0,11.0
145,491.0,11.0
146,496.0,8.0
147,504.0,12.0
148,509.0,8.0
149,515.0,7.0
150,517.0,11.0
151,522.0,8.0
152,525.0,6.0
153,529.0,17.0
154,531.0,21.0
155,532.0,14.0
156,534.0,17.0
157,541.0,21.0
158,542.0,11.0
159,543.0,15.0
160,549.0,12.0
161,554.0,7.0
162,555.0,9.0
163,558.0,23.0
164,561.0,16.0
165,571.0,14.0
166,572.0,12.0
167,581.0,20.0
168,582.0,8.0
169,583.0,21.0
170,584.0,16.0
171,585.0,16.0
172,587.0,18.0
173,592.0,5.0
174,604.0,11.0
175,605.0,19.0
176,616.0,8.0
177,617.0,5.0
178,622.0,10.0
179,626.0,28.0
180,627.0,19.0
181,628.0,18.0
182,629.0,10.0
183,632.0,10.0
184,633.0,22.0
185,639.0,22.0
186,640.0,26.0
187,647.0,4.0
188,654.0,5.0
189,655.0,6.0
190,657.0,20.0
191,659.0,16.0
192,661.0,13.0
193,662.0,14.0
194,669.0,10.0
195,675.0,11.0
196,678.0,23.0
197,681.0,20.0
198,690.0,10.0
199,691.0,15.0
200,693.0,22.0
201,696.0,14.0
202,698.0,10.0
203,703.0,12.0
204,704.0,19.0
205,708.0,27.0
206,709.0,12.0
207,712.0,26.0
208,717.0,9.0
209,718.0,10.0
210,731.0,18.0
211,732.0,15.0
212,737.0,12.0
213,738.0,6.0
214,743.0,9.0
215,744.0,4.0
216,745.0,29.0
217,746.0,8.0
218,749.0,11.0
219,750.0,21.0
220,751.0,28.0
221,753.0,18.0
222,754.0,15.0
223,755.0,17.0
224,758.0,8.0
225,763.0,15.0
