,ori,hi_access
0,159438.0,14.0
1,53352.0,15.0
2,169890.0,13.0
3,124549.0,13.0
4,19089.0,15.0
5,117924.0,15.0
6,106688.0,15.0
7,151645.0,13.0
8,80509.0,13.0
9,155621.0,15.0
10,1488.0,13.0
11,181001.0,12.0
12,96116.0,12.0
13,27595.0,12.0
14,145018.0,12.0
15,131446.0,12.0
16,143464.0,12.0
17,154657.0,12.0
18,186488.0,12.0
19,42802.0,12.0
20,1536.0,12.0
21,20798.0,13.0
22,110056.0,13.0
23,90572.0,15.0
24,180382.0,12.0
25,179474.0,14.0
26,2865.0,12.0
27,78724.0,12.0
28,81534.0,17.0
29,35623.0,15.0
30,134109.0,12.0
31,160927.0,14.0
32,105661.0,17.0
33,177528.0,14.0
34,135206.0,17.0
35,85911.0,12.0
36,53962.0,16.0
37,155656.0,17.0
38,89804.0,13.0
39,91971.0,12.0
40,101702.0,14.0
41,7891.0,13.0
42,65565.0,14.0
43,185012.0,17.0
44,187739.0,15.0
45,10576.0,17.0
46,43689.0,15.0
47,118518.0,12.0
48,32607.0,13.0
49,175919.0,15.0
50,83566.0,13.0
51,122603.0,12.0
52,73068.0,14.0
53,61023.0,12.0
54,147173.0,11.0
55,122938.0,12.0
56,120486.0,13.0
57,178503.0,14.0
58,157658.0,14.0
59,26562.0,11.0
60,41731.0,14.0
61,93613.0,13.0
62,120738.0,14.0
63,186155.0,15.0
64,160640.0,12.0
65,179770.0,12.0
66,182071.0,15.0
67,145654.0,12.0
68,58247.0,14.0
69,51880.0,15.0
70,127024.0,11.0
71,127323.0,12.0
72,63753.0,11.0
73,22475.0,12.0
74,144340.0,12.0
75,162040.0,12.0
76,10698.0,12.0
77,118652.0,10.0
78,181608.0,10.0
79,124204.0,11.0
80,53232.0,11.0
81,85612.0,10.0
82,189515.0,12.0
83,146503.0,10.0
84,64811.0,10.0
85,57589.0,12.0
86,79999.0,13.0
87,186677.0,12.0
88,133754.0,10.0
89,188851.0,11.0
90,141401.0,10.0
91,147111.0,10.0
92,11085.0,14.0
93,33179.0,12.0
94,186265.0,10.0
95,62525.0,15.0
96,33878.0,11.0
97,732.0,14.0
98,152984.0,10.0
99,165741.0,11.0
100,148668.0,11.0
101,63486.0,11.0
102,150926.0,12.0
103,74517.0,10.0
104,32506.0,10.0
105,175233.0,11.0
106,52544.0,12.0
107,18641.0,12.0
108,119773.0,10.0
109,132803.0,10.0
110,16379.0,10.0
111,75619.0,11.0
112,121733.0,12.0
113,124855.0,14.0
114,93986.0,10.0
115,8486.0,10.0
116,87987.0,10.0
117,143899.0,11.0
118,17687.0,10.0
119,188827.0,11.0
120,56812.0,11.0
121,97453.0,11.0
122,184025.0,12.0
123,5108.0,10.0
124,178751.0,10.0
125,6813.0,12.0
126,90859.0,11.0
127,58892.0,11.0
128,188536.0,11.0
129,110266.0,12.0
130,23221.0,11.0
131,161197.0,11.0
132,121141.0,14.0
133,113516.0,12.0
134,154796.0,10.0
135,130642.0,10.0
136,128189.0,12.0
137,34154.0,11.0
138,31460.0,10.0
139,36339.0,10.0
140,108130.0,11.0
141,112585.0,12.0
142,84445.0,15.0
143,16759.0,11.0
144,122548.0,10.0
145,70802.0,14.0
146,101755.0,11.0
147,7142.0,11.0
148,39276.0,10.0
149,107711.0,13.0
150,165518.0,10.0
151,186384.0,10.0
152,185089.0,10.0
153,5407.0,12.0
154,84314.0,11.0
155,70543.0,10.0
156,112495.0,10.0
