,ori,lo_transittime
0,6.0,15.0
1,12.0,22.0
2,16.0,22.0
3,21.0,27.0
4,25.0,16.0
5,33.0,18.0
6,35.0,9.0
7,37.0,24.0
8,38.0,9.0
9,41.0,8.0
10,42.0,6.0
11,44.0,9.0
12,51.0,20.0
13,52.0,12.0
14,56.0,12.0
15,57.0,17.0
16,68.0,27.0
17,70.0,26.0
18,75.0,28.0
19,77.0,18.0
20,79.0,15.0
21,80.0,13.0
22,86.0,12.0
23,94.0,18.0
24,99.0,26.0
25,101.0,14.0
26,105.0,22.0
27,106.0,7.0
28,115.0,28.0
29,120.0,12.0
30,121.0,29.0
31,122.0,23.0
32,135.0,5.0
33,136.0,25.0
34,139.0,21.0
35,140.0,10.0
36,142.0,21.0
37,146.0,11.0
38,156.0,11.0
39,157.0,23.0
40,158.0,11.0
41,162.0,17.0
42,164.0,17.0
43,165.0,21.0
44,166.0,15.0
45,170.0,3.0
46,174.0,18.0
47,178.0,8.0
48,179.0,9.0
49,182.0,12.0
50,183.0,29.0
51,188.0,6.0
52,194.0,11.0
53,198.0,10.0
54,201.0,13.0
55,202.0,19.0
56,205.0,4.0
57,213.0,12.0
58,215.0,24.0
59,216.0,18.0
60,221.0,15.0
61,230.0,23.0
62,242.0,11.0
63,245.0,20.0
64,247.0,16.0
65,251.0,7.0
66,252.0,17.0
67,253.0,12.0
68,254.0,7.0
69,255.0,19.0
70,256.0,6.0
71,260.0,9.0
72,261.0,8.0
73,262.0,21.0
74,265.0,24.0
75,266.0,6.0
76,270.0,13.0
77,271.0,26.0
78,275.0,13.0
79,276.0,8.0
80,280.0,10.0
81,281.0,9.0
82,284.0,6.0
83,290.0,21.0
84,291.0,22.0
85,292.0,21.0
86,296.0,11.0
87,297.0,20.0
88,301.0,23.0
89,304.0,12.0
90,312.0,14.0
91,313.0,14.0
92,314.0,18.0
93,316.0,20.0
94,319.0,18.0
95,322.0,13.0
96,325.0,13.0
97,328.0,8.0
98,329.0,8.0
99,333.0,16.0
100,335.0,9.0
101,336.0,16.0
102,339.0,4.0
103,348.0,29.0
104,358.0,11.0
105,367.0,11.0
106,370.0,11.0
107,372.0,18.0
108,373.0,17.0
109,376.0,10.0
110,377.0,15.0
111,384.0,17.0
112,395.0,19.0
113,397.0,14.0
114,399.0,18.0
115,400.0,7.0
116,401.0,13.0
117,402.0,18.0
118,405.0,3.0
119,407.0,12.0
120,409.0,20.0
121,416.0,13.0
122,422.0,9.0
123,432.0,24.0
124,433.0,12.0
125,448.0,13.0
126,459.0,16.0
127,462.0,17.0
128,464.0,14.0
129,470.0,19.0
130,472.0,9.0
131,473.0,6.0
132,482.0,18.0
133,488.0,9.0
134,490.0,9.0
135,491.0,9.0
136,493.0,23.0
137,496.0,16.0
138,497.0,19.0
139,498.0,27.0
140,509.0,17.0
141,515.0,10.0
142,517.0,14.0
143,525.0,16.0
144,529.0,14.0
145,531.0,13.0
146,532.0,13.0
147,534.0,9.0
148,540.0,13.0
149,542.0,8.0
150,543.0,4.0
151,544.0,24.0
152,549.0,14.0
153,552.0,11.0
154,554.0,5.0
155,561.0,2.0
156,571.0,21.0
157,581.0,10.0
158,582.0,12.0
159,583.0,23.0
160,585.0,9.0
161,587.0,16.0
162,590.0,13.0
163,592.0,7.0
164,594.0,23.0
165,598.0,8.0
166,604.0,7.0
167,605.0,16.0
168,616.0,14.0
169,617.0,2.0
170,622.0,15.0
171,627.0,15.0
172,629.0,16.0
173,633.0,11.0
174,640.0,16.0
175,644.0,19.0
176,647.0,5.0
177,654.0,20.0
178,657.0,22.0
179,659.0,10.0
180,661.0,10.0
181,662.0,15.0
182,665.0,15.0
183,669.0,10.0
184,675.0,11.0
185,678.0,17.0
186,681.0,5.0
187,690.0,17.0
188,693.0,17.0
189,696.0,26.0
190,704.0,16.0
191,709.0,18.0
192,712.0,17.0
193,713.0,25.0
194,717.0,15.0
195,718.0,13.0
196,729.0,16.0
197,732.0,16.0
198,737.0,11.0
199,738.0,7.0
200,739.0,26.0
201,743.0,12.0
202,744.0,18.0
203,746.0,11.0
204,748.0,4.0
205,749.0,9.0
206,754.0,13.0
207,755.0,14.0
208,757.0,12.0
209,758.0,13.0
210,764.0,7.0
211,765.0,7.0
212,767.0,5.0
213,768.0,24.0
214,771.0,10.0
215,772.0,22.0
216,774.0,24.0
217,775.0,15.0
218,779.0,13.0
219,780.0,11.0
220,786.0,14.0
221,787.0,22.0
222,790.0,15.0
223,797.0,18.0
224,798.0,17.0
225,800.0,14.0
226,807.0,8.0
227,812.0,13.0
228,813.0,4.0
229,816.0,17.0
230,824.0,14.0
231,827.0,14.0
232,828.0,9.0
233,832.0,20.0
234,833.0,20.0
235,835.0,9.0
236,838.0,14.0
237,841.0,12.0
238,845.0,17.0
239,851.0,18.0
240,852.0,20.0
241,857.0,9.0
242,862.0,15.0
243,867.0,10.0
244,868.0,17.0
245,869.0,7.0
246,871.0,17.0
247,873.0,8.0
248,879.0,13.0
249,880.0,17.0
250,883.0,16.0
251,884.0,19.0
252,886.0,14.0
253,887.0,19.0
254,890.0,22.0
255,892.0,14.0
256,896.0,13.0
257,897.0,17.0
258,898.0,7.0
259,900.0,12.0
260,902.0,9.0
261,905.0,10.0
262,910.0,7.0
263,911.0,27.0
264,913.0,22.0
265,916.0,8.0
266,920.0,18.0
267,925.0,15.0
268,928.0,8.0
269,934.0,16.0
270,937.0,23.0
271,939.0,10.0
272,943.0,16.0
273,944.0,16.0
274,946.0,25.0
275,948.0,13.0
276,951.0,12.0
277,953.0,2.0
278,965.0,19.0
279,967.0,7.0
280,970.0,11.0
281,971.0,21.0
282,973.0,13.0
283,976.0,24.0
284,977.0,14.0
285,981.0,26.0
286,982.0,15.0
287,988.0,9.0
288,989.0,21.0
289,991.0,7.0
290,992.0,15.0
291,993.0,12.0
292,995.0,15.0
293,1014.0,7.0
294,1021.0,15.0
295,1027.0,24.0
296,1031.0,27.0
297,1033.0,19.0
298,1042.0,22.0
299,1048.0,17.0
300,1051.0,19.0
301,1055.0,20.0
302,1056.0,17.0
303,1059.0,15.0
304,1060.0,18.0
305,1061.0,7.0
306,1064.0,15.0
307,1066.0,7.0
308,1067.0,20.0
309,1068.0,13.0
310,1076.0,19.0
311,1077.0,18.0
312,1082.0,22.0
313,1083.0,12.0
314,1100.0,12.0
315,1102.0,14.0
316,1106.0,8.0
317,1108.0,13.0
318,1109.0,16.0
319,1110.0,18.0
320,1114.0,13.0
321,1116.0,9.0
322,1124.0,21.0
323,1127.0,7.0
324,1132.0,14.0
325,1134.0,11.0
326,1140.0,24.0
327,1142.0,17.0
328,1146.0,6.0
329,1159.0,15.0
330,1164.0,8.0
331,1166.0,24.0
332,1168.0,12.0
333,1171.0,7.0
334,1173.0,15.0
335,1174.0,15.0
336,1175.0,17.0
337,1179.0,21.0
338,1182.0,15.0
339,1184.0,14.0
340,1197.0,3.0
341,1198.0,11.0
342,1200.0,21.0
343,1201.0,7.0
344,1203.0,11.0
345,1205.0,24.0
346,1209.0,18.0
347,1213.0,22.0
348,1215.0,18.0
349,1219.0,17.0
350,1221.0,17.0
351,1233.0,4.0
352,1234.0,14.0
353,1235.0,23.0
354,1239.0,14.0
355,1248.0,11.0
356,1256.0,16.0
357,1257.0,9.0
358,1260.0,9.0
359,1261.0,14.0
360,1263.0,25.0
361,1264.0,10.0
362,1267.0,7.0
363,1270.0,21.0
364,1282.0,14.0
365,1283.0,13.0
366,1285.0,3.0
367,1286.0,14.0
368,1296.0,11.0
369,1297.0,14.0
370,1298.0,3.0
371,1301.0,14.0
372,1307.0,22.0
373,1308.0,22.0
374,1312.0,14.0
375,1315.0,24.0
376,1316.0,13.0
377,1321.0,13.0
378,1324.0,27.0
379,1325.0,16.0
380,1326.0,1.0
381,1327.0,25.0
382,1339.0,1.0
383,1344.0,14.0
384,1350.0,17.0
385,1352.0,11.0
386,1365.0,26.0
387,1371.0,22.0
388,1372.0,14.0
389,1379.0,14.0
390,1385.0,6.0
391,1399.0,13.0
392,1400.0,10.0
393,1402.0,11.0
394,1404.0,12.0
395,1406.0,14.0
396,1407.0,9.0
397,1410.0,29.0
398,1411.0,20.0
399,1413.0,14.0
400,1414.0,18.0
401,1421.0,6.0
402,1426.0,20.0
403,1432.0,12.0
404,1442.0,20.0
405,1451.0,15.0
406,1460.0,10.0
407,1463.0,12.0
408,1465.0,17.0
409,1467.0,10.0
410,1473.0,12.0
411,1477.0,15.0
412,1487.0,28.0
413,1488.0,8.0
414,1492.0,19.0
415,1493.0,12.0
416,1497.0,14.0
417,1504.0,17.0
418,1506.0,7.0
419,1509.0,23.0
420,1515.0,12.0
