,ori,hi_access
0,159438.0,10.0
1,143464.0,9.0
2,105661.0,9.0
3,79766.0,8.0
4,114327.0,9.0
5,153141.0,11.0
6,178306.0,9.0
7,24989.0,9.0
8,124982.0,9.0
9,71085.0,8.0
10,54398.0,8.0
11,135206.0,9.0
12,91094.0,8.0
13,94487.0,8.0
14,140389.0,9.0
15,9765.0,12.0
16,41731.0,10.0
17,115443.0,9.0
18,7891.0,10.0
19,43276.0,9.0
20,5104.0,8.0
21,155656.0,10.0
22,183470.0,9.0
23,118879.0,9.0
24,41063.0,8.0
25,122603.0,9.0
26,151645.0,10.0
27,131703.0,8.0
28,182902.0,9.0
29,135323.0,8.0
30,103922.0,8.0
31,81534.0,9.0
32,84747.0,8.0
33,169890.0,8.0
34,53962.0,9.0
35,116302.0,8.0
36,185012.0,9.0
37,5997.0,9.0
38,11612.0,11.0
39,147352.0,8.0
40,116493.0,8.0
41,39697.0,9.0
42,35092.0,8.0
43,17684.0,9.0
44,184025.0,9.0
45,171357.0,8.0
46,12379.0,8.0
47,95410.0,8.0
48,65565.0,10.0
49,60385.0,11.0
50,60446.0,11.0
51,46441.0,9.0
52,3498.0,8.0
53,10576.0,9.0
54,120486.0,10.0
55,115251.0,11.0
56,152516.0,9.0
57,51880.0,9.0
58,178503.0,10.0
59,33878.0,8.0
60,91701.0,10.0
61,74928.0,8.0
62,116221.0,9.0
63,131842.0,8.0
64,30117.0,8.0
65,63892.0,8.0
66,85029.0,7.0
67,69872.0,7.0
68,105843.0,9.0
69,3712.0,8.0
70,26877.0,10.0
71,43117.0,7.0
72,150792.0,7.0
73,189068.0,7.0
74,179685.0,7.0
75,77862.0,7.0
76,100020.0,8.0
77,127395.0,12.0
78,93575.0,7.0
79,95393.0,7.0
80,119926.0,11.0
81,153559.0,7.0
82,171453.0,8.0
83,39292.0,7.0
84,20798.0,8.0
85,188050.0,7.0
86,175827.0,7.0
87,176614.0,7.0
88,42477.0,7.0
89,60293.0,7.0
90,82198.0,7.0
91,168677.0,7.0
92,43984.0,7.0
93,155768.0,7.0
94,190378.0,7.0
95,42841.0,7.0
96,35370.0,7.0
97,32026.0,8.0
98,45151.0,8.0
99,93613.0,8.0
100,41405.0,8.0
101,169501.0,7.0
102,174083.0,7.0
103,53294.0,8.0
104,122221.0,8.0
105,141361.0,7.0
106,186155.0,8.0
107,4857.0,7.0
108,96911.0,7.0
109,12127.0,7.0
110,99843.0,7.0
111,131629.0,9.0
112,117349.0,7.0
113,170585.0,7.0
114,66782.0,8.0
115,52843.0,7.0
116,167101.0,7.0
117,35282.0,8.0
118,32827.0,7.0
119,11821.0,8.0
120,84381.0,7.0
121,12320.0,7.0
122,118888.0,7.0
123,91790.0,8.0
124,57577.0,7.0
125,146763.0,9.0
126,113489.0,7.0
127,46695.0,7.0
128,172313.0,7.0
129,39916.0,8.0
130,37100.0,7.0
131,182071.0,7.0
132,149898.0,7.0
133,166305.0,7.0
134,107107.0,7.0
135,162387.0,8.0
136,168052.0,8.0
137,100305.0,7.0
138,113794.0,8.0
139,39276.0,7.0
140,15220.0,8.0
141,139643.0,8.0
142,49044.0,8.0
143,70285.0,7.0
144,80267.0,9.0
145,185686.0,7.0
146,83566.0,8.0
147,25174.0,7.0
148,83206.0,12.0
149,35807.0,7.0
150,146472.0,8.0
151,153713.0,7.0
152,62998.0,7.0
153,16092.0,7.0
154,93426.0,7.0
155,163808.0,9.0
156,105952.0,7.0
157,10864.0,7.0
158,27496.0,7.0
159,11536.0,9.0
160,135482.0,7.0
161,164985.0,8.0
162,56123.0,8.0
163,78670.0,9.0
164,98649.0,8.0
165,50000.0,7.0
166,85741.0,7.0
167,2865.0,8.0
168,37526.0,7.0
169,1488.0,8.0
170,122506.0,7.0
171,176996.0,7.0
172,107262.0,7.0
173,48795.0,7.0
174,96307.0,7.0
175,188137.0,8.0
176,110453.0,7.0
177,166950.0,7.0
178,98116.0,8.0
179,126493.0,8.0
180,20839.0,7.0
181,29618.0,7.0
182,80532.0,9.0
183,85797.0,9.0
184,101008.0,7.0
185,35828.0,7.0
186,149653.0,9.0
187,1407.0,8.0
188,12412.0,8.0
189,10652.0,8.0
190,133193.0,8.0
191,101704.0,9.0
192,62872.0,7.0
193,63066.0,7.0
194,2315.0,7.0
195,75771.0,8.0
196,119017.0,7.0
197,97949.0,7.0
198,22465.0,9.0
199,105582.0,8.0
200,43689.0,8.0
201,5407.0,9.0
202,152053.0,7.0
203,178095.0,8.0
204,112360.0,7.0
205,23551.0,7.0
206,177294.0,8.0
207,2995.0,7.0
208,157507.0,8.0
209,31294.0,7.0
210,153996.0,6.0
211,76162.0,6.0
212,30450.0,6.0
213,88670.0,6.0
214,121072.0,9.0
215,72929.0,7.0
216,106224.0,10.0
217,120147.0,6.0
218,110254.0,6.0
219,126763.0,7.0
220,75767.0,6.0
221,133022.0,7.0
222,176859.0,7.0
223,22511.0,6.0
224,166792.0,6.0
225,168481.0,6.0
226,176756.0,6.0
227,108130.0,6.0
228,25018.0,7.0
229,131561.0,6.0
230,90139.0,7.0
231,3022.0,7.0
232,61139.0,6.0
233,154015.0,7.0
234,33577.0,6.0
235,44810.0,6.0
236,183605.0,7.0
237,24920.0,8.0
238,138993.0,6.0
239,147858.0,8.0
240,17769.0,6.0
241,58713.0,6.0
242,12987.0,6.0
243,83941.0,7.0
244,22105.0,6.0
245,48537.0,6.0
246,39019.0,6.0
247,184967.0,6.0
248,72455.0,6.0
249,186547.0,7.0
250,133070.0,7.0
251,141133.0,6.0
252,12021.0,7.0
253,55851.0,6.0
254,125737.0,7.0
255,40286.0,7.0
256,154657.0,7.0
257,127497.0,7.0
258,186178.0,6.0
259,163323.0,8.0
260,31415.0,6.0
261,115794.0,6.0
262,19379.0,7.0
263,117618.0,7.0
264,74085.0,7.0
265,151401.0,7.0
266,5775.0,6.0
267,137302.0,6.0
268,132542.0,7.0
269,142188.0,6.0
270,66269.0,7.0
271,81146.0,6.0
272,99785.0,9.0
273,86031.0,7.0
274,139392.0,6.0
275,137453.0,6.0
276,77696.0,7.0
277,77967.0,6.0
278,129489.0,6.0
279,19787.0,6.0
280,154232.0,11.0
281,15982.0,6.0
282,41383.0,10.0
283,21390.0,7.0
284,883.0,6.0
285,90267.0,7.0
286,152707.0,6.0
287,78834.0,6.0
288,75766.0,6.0
289,28161.0,6.0
290,38715.0,6.0
291,162899.0,7.0
292,62756.0,10.0
293,61534.0,6.0
294,71479.0,6.0
295,14965.0,7.0
296,165741.0,7.0
297,110476.0,6.0
298,56138.0,6.0
299,185372.0,6.0
300,166008.0,7.0
301,91182.0,6.0
302,184208.0,6.0
303,119530.0,6.0
304,55441.0,6.0
305,27595.0,7.0
306,153920.0,6.0
307,97523.0,6.0
308,88758.0,7.0
309,50711.0,6.0
310,35123.0,11.0
311,129621.0,7.0
312,39903.0,7.0
313,69402.0,7.0
314,106675.0,6.0
315,11194.0,6.0
316,162315.0,6.0
317,15667.0,7.0
318,81555.0,6.0
319,129120.0,8.0
320,113105.0,9.0
321,72482.0,11.0
322,48924.0,7.0
323,87816.0,7.0
324,154704.0,6.0
325,77045.0,7.0
326,67102.0,7.0
327,111982.0,6.0
328,152788.0,6.0
329,87791.0,6.0
330,117924.0,6.0
331,105263.0,6.0
332,55438.0,6.0
333,125010.0,6.0
334,107214.0,6.0
335,139131.0,7.0
336,67017.0,10.0
337,179901.0,6.0
338,179701.0,7.0
339,157292.0,6.0
340,51674.0,6.0
341,58125.0,6.0
342,44055.0,6.0
343,30992.0,6.0
344,36762.0,7.0
345,91642.0,6.0
346,89053.0,7.0
347,171308.0,7.0
348,44059.0,8.0
349,190270.0,9.0
350,69791.0,6.0
351,54709.0,6.0
352,53729.0,7.0
353,120846.0,6.0
354,153917.0,10.0
355,89202.0,6.0
356,8277.0,6.0
357,11447.0,6.0
358,95496.0,7.0
359,116285.0,8.0
360,5784.0,8.0
361,45387.0,6.0
362,54881.0,7.0
363,37318.0,10.0
364,102056.0,6.0
365,27091.0,6.0
366,127975.0,6.0
367,186103.0,10.0
368,189396.0,7.0
369,183440.0,7.0
370,134717.0,6.0
371,107711.0,7.0
372,148294.0,7.0
373,56201.0,6.0
374,121866.0,7.0
375,46786.0,6.0
376,29411.0,6.0
377,4243.0,7.0
378,53963.0,7.0
379,14509.0,6.0
380,185546.0,7.0
381,183411.0,7.0
382,89743.0,7.0
383,172443.0,7.0
384,77397.0,6.0
385,64343.0,6.0
386,89028.0,6.0
387,37199.0,6.0
388,186361.0,7.0
389,90332.0,6.0
390,118414.0,6.0
391,64368.0,6.0
392,26121.0,7.0
393,174263.0,8.0
394,183790.0,6.0
395,94134.0,7.0
396,129318.0,6.0
397,57484.0,7.0
398,44822.0,6.0
399,170935.0,6.0
400,149188.0,6.0
401,9552.0,7.0
402,100959.0,6.0
403,13564.0,7.0
404,78614.0,7.0
405,123755.0,6.0
406,43079.0,8.0
407,153560.0,6.0
408,112415.0,7.0
409,162479.0,6.0
410,72882.0,8.0
411,46994.0,10.0
412,148416.0,7.0
413,163672.0,6.0
414,176883.0,7.0
415,87374.0,6.0
416,91794.0,6.0
417,163523.0,9.0
418,6959.0,6.0
419,139979.0,6.0
420,120182.0,10.0
421,448.0,6.0
422,103511.0,7.0
423,110156.0,10.0
424,142904.0,6.0
425,151087.0,8.0
426,98899.0,6.0
427,167272.0,7.0
428,94764.0,6.0
429,113456.0,6.0
430,4136.0,6.0
431,161448.0,6.0
432,135452.0,7.0
433,122875.0,6.0
434,127465.0,7.0
435,171395.0,7.0
436,26155.0,6.0
437,58465.0,6.0
438,47481.0,6.0
439,920.0,6.0
440,46882.0,7.0
441,27655.0,11.0
442,94126.0,6.0
443,45639.0,6.0
444,162206.0,6.0
445,178898.0,11.0
446,75489.0,6.0
447,159256.0,6.0
448,93763.0,6.0
449,177389.0,6.0
450,175625.0,6.0
451,37116.0,6.0
452,6942.0,7.0
453,106146.0,6.0
454,43261.0,6.0
455,111486.0,7.0
456,87554.0,7.0
457,107680.0,6.0
458,32809.0,7.0
459,91628.0,6.0
460,138274.0,6.0
461,80245.0,6.0
462,161412.0,7.0
463,21249.0,7.0
464,135041.0,6.0
465,84414.0,7.0
466,149938.0,6.0
467,140685.0,7.0
468,88902.0,6.0
469,83974.0,6.0
470,182255.0,7.0
471,132265.0,6.0
472,12603.0,6.0
473,140993.0,7.0
474,149584.0,6.0
475,132135.0,6.0
476,26952.0,7.0
477,158404.0,8.0
478,89532.0,7.0
479,99012.0,6.0
480,83210.0,6.0
481,14192.0,6.0
482,118467.0,6.0
483,70252.0,9.0
484,749.0,6.0
485,6219.0,11.0
486,109524.0,6.0
487,122548.0,6.0
488,129204.0,6.0
489,176446.0,7.0
490,116509.0,7.0
491,105237.0,9.0
492,155621.0,6.0
493,58462.0,10.0
494,95423.0,6.0
495,163954.0,7.0
496,152175.0,7.0
497,28724.0,6.0
498,74209.0,6.0
499,1756.0,6.0
500,170752.0,6.0
501,44321.0,6.0
502,127393.0,8.0
503,101692.0,7.0
504,162932.0,6.0
505,158909.0,10.0
506,80119.0,6.0
507,96357.0,6.0
508,3188.0,8.0
509,164049.0,7.0
510,146364.0,7.0
511,167347.0,6.0
512,80382.0,7.0
513,83824.0,6.0
514,14860.0,7.0
515,33605.0,7.0
516,90618.0,11.0
517,106845.0,7.0
518,130309.0,7.0
519,159111.0,6.0
520,116337.0,6.0
521,53437.0,6.0
522,130731.0,6.0
523,174577.0,7.0
524,155718.0,8.0
525,149627.0,7.0
526,171887.0,6.0
527,105557.0,7.0
528,108886.0,6.0
529,186764.0,8.0
530,40228.0,8.0
531,4954.0,6.0
532,51280.0,6.0
533,21812.0,6.0
534,55484.0,8.0
535,12383.0,6.0
536,77170.0,8.0
537,169743.0,6.0
538,40810.0,6.0
539,85832.0,6.0
540,43199.0,8.0
541,163267.0,6.0
542,12399.0,6.0
543,173839.0,6.0
544,62365.0,6.0
545,118483.0,7.0
546,151201.0,6.0
547,66080.0,6.0
548,25541.0,8.0
549,96113.0,6.0
550,166572.0,6.0
551,138125.0,10.0
552,31118.0,7.0
553,113709.0,6.0
554,86127.0,6.0
555,22851.0,7.0
556,8383.0,6.0
557,121700.0,8.0
558,124546.0,11.0
559,43318.0,7.0
560,127076.0,10.0
561,50994.0,6.0
562,172627.0,6.0
563,135180.0,6.0
564,178606.0,7.0
565,11539.0,7.0
566,30557.0,8.0
567,111761.0,7.0
568,109011.0,6.0
569,130911.0,7.0
570,50289.0,6.0
571,107269.0,6.0
572,64427.0,6.0
573,118153.0,6.0
574,56822.0,6.0
575,43724.0,6.0
576,13602.0,7.0
577,147409.0,7.0
578,107885.0,6.0
579,22975.0,9.0
580,123370.0,6.0
581,84435.0,8.0
582,144911.0,6.0
583,49187.0,7.0
584,170049.0,7.0
585,68968.0,6.0
586,167059.0,7.0
587,61528.0,7.0
588,104113.0,7.0
589,25234.0,7.0
590,26916.0,7.0
591,142919.0,6.0
592,84035.0,10.0
593,139881.0,10.0
594,30012.0,6.0
595,118055.0,6.0
596,51485.0,7.0
597,115906.0,6.0
598,25296.0,7.0
599,21824.0,8.0
600,134022.0,7.0
601,112514.0,10.0
602,185267.0,7.0
603,94069.0,6.0
604,155321.0,7.0
605,27985.0,6.0
606,189458.0,6.0
607,89009.0,6.0
608,170852.0,9.0
609,29007.0,6.0
610,139241.0,6.0
611,60546.0,7.0
612,180382.0,8.0
613,32025.0,7.0
614,36268.0,6.0
615,123562.0,6.0
616,92508.0,6.0
617,113739.0,9.0
618,38058.0,6.0
619,9943.0,11.0
620,93994.0,6.0
621,110144.0,6.0
622,121844.0,6.0
623,48686.0,6.0
624,11737.0,7.0
625,130845.0,9.0
626,115772.0,6.0
627,51828.0,6.0
628,187220.0,6.0
629,41822.0,7.0
630,34275.0,7.0
631,74159.0,6.0
632,167351.0,7.0
633,24350.0,7.0
634,10183.0,6.0
635,81077.0,9.0
636,80509.0,6.0
637,150455.0,7.0
638,62824.0,6.0
639,179762.0,10.0
640,75127.0,8.0
641,86096.0,6.0
642,177583.0,7.0
643,88285.0,7.0
644,83174.0,9.0
645,150527.0,7.0
646,135093.0,6.0
647,157109.0,6.0
648,116204.0,10.0
649,98964.0,7.0
650,31800.0,7.0
651,150898.0,6.0
652,118551.0,7.0
653,147752.0,7.0
654,42879.0,7.0
655,181587.0,7.0
656,31512.0,7.0
657,174655.0,10.0
658,164474.0,9.0
659,43334.0,6.0
660,36032.0,7.0
661,156497.0,7.0
662,74237.0,7.0
663,35632.0,7.0
664,29870.0,10.0
665,174845.0,7.0
666,172426.0,7.0
667,161366.0,9.0
668,133328.0,6.0
669,152395.0,6.0
670,46239.0,7.0
671,172290.0,7.0
672,135741.0,7.0
673,135744.0,6.0
674,19089.0,6.0
675,103754.0,6.0
676,23596.0,7.0
677,38533.0,7.0
678,25608.0,6.0
679,78694.0,8.0
680,104469.0,9.0
681,106282.0,6.0
682,4504.0,7.0
683,132901.0,6.0
684,108519.0,7.0
685,73837.0,12.0
686,4183.0,6.0
687,125314.0,6.0
688,142783.0,11.0
689,39070.0,7.0
690,184953.0,6.0
691,21105.0,6.0
692,101646.0,10.0
693,181280.0,6.0
694,145018.0,7.0
695,3442.0,7.0
696,90427.0,9.0
697,35410.0,7.0
698,71608.0,7.0
699,165549.0,10.0
700,58759.0,7.0
701,31093.0,7.0
702,2671.0,6.0
703,61807.0,6.0
704,68415.0,8.0
705,158775.0,6.0
706,24334.0,6.0
707,106198.0,7.0
708,110258.0,6.0
709,6178.0,6.0
710,37207.0,7.0
711,130325.0,6.0
712,114707.0,7.0
713,11829.0,8.0
714,8951.0,6.0
715,47357.0,7.0
716,13982.0,7.0
717,75048.0,10.0
718,73669.0,6.0
719,154148.0,6.0
720,107273.0,7.0
721,10434.0,6.0
722,114269.0,6.0
723,178170.0,6.0
724,150179.0,7.0
725,49692.0,10.0
726,22944.0,9.0
727,39809.0,7.0
728,19829.0,6.0
729,32817.0,7.0
730,34955.0,7.0
731,56711.0,6.0
732,31044.0,7.0
733,36117.0,6.0
734,43169.0,6.0
735,91495.0,7.0
736,55645.0,10.0
737,122052.0,7.0
738,81714.0,6.0
739,52651.0,6.0
740,8366.0,7.0
741,178025.0,7.0
742,170903.0,7.0
743,59425.0,6.0
744,157276.0,6.0
745,175148.0,11.0
746,156874.0,6.0
747,100403.0,6.0
748,42140.0,8.0
749,136847.0,7.0
750,153588.0,6.0
751,98154.0,6.0
752,106688.0,6.0
753,53462.0,9.0
754,82241.0,8.0
755,81892.0,6.0
756,124468.0,6.0
757,162231.0,11.0
758,187636.0,6.0
759,41286.0,6.0
760,72913.0,7.0
761,70732.0,7.0
762,41196.0,7.0
763,65242.0,10.0
764,100743.0,6.0
765,188039.0,6.0
766,73724.0,7.0
767,142934.0,6.0
768,183311.0,6.0
769,39645.0,7.0
770,146197.0,6.0
771,84803.0,6.0
772,62088.0,7.0
773,166765.0,6.0
774,59660.0,6.0
775,154677.0,8.0
776,188536.0,7.0
777,152688.0,6.0
778,139347.0,7.0
779,147569.0,8.0
780,91923.0,8.0
781,100919.0,7.0
782,52155.0,8.0
783,54868.0,6.0
784,25251.0,7.0
785,25407.0,6.0
786,84556.0,11.0
787,70207.0,7.0
788,128210.0,8.0
789,113361.0,11.0
790,91942.0,7.0
791,53352.0,6.0
792,180069.0,7.0
793,170908.0,6.0
794,78844.0,7.0
795,144735.0,7.0
796,28188.0,6.0
797,187534.0,6.0
798,84558.0,7.0
799,124775.0,6.0
800,592.0,6.0
801,14135.0,6.0
802,188001.0,7.0
803,151216.0,7.0
804,186622.0,6.0
805,106718.0,7.0
806,29798.0,6.0
807,176361.0,7.0
808,76119.0,8.0
809,112017.0,6.0
810,133316.0,10.0
811,81037.0,7.0
812,8839.0,7.0
813,34949.0,6.0
814,4501.0,6.0
815,18184.0,11.0
816,31628.0,6.0
817,168535.0,6.0
