,ori,lo_transittime
0,0.0,3.0
1,2.0,25.0
2,3.0,20.0
3,4.0,15.0
4,6.0,9.0
5,7.0,8.0
6,8.0,16.0
7,11.0,15.0
8,12.0,5.0
9,16.0,17.0
10,17.0,26.0
11,21.0,21.0
12,25.0,2.0
13,27.0,18.0
14,28.0,18.0
15,33.0,10.0
16,35.0,5.0
17,36.0,10.0
18,37.0,6.0
19,38.0,8.0
20,41.0,21.0
21,42.0,15.0
22,44.0,5.0
23,48.0,9.0
24,50.0,6.0
25,52.0,13.0
26,54.0,10.0
27,55.0,12.0
28,56.0,5.0
29,57.0,6.0
30,58.0,14.0
31,65.0,8.0
32,68.0,16.0
33,70.0,19.0
34,74.0,9.0
35,75.0,15.0
36,77.0,13.0
37,79.0,11.0
38,80.0,10.0
39,86.0,11.0
40,88.0,9.0
41,92.0,16.0
42,94.0,7.0
43,99.0,4.0
44,101.0,11.0
45,103.0,10.0
46,105.0,17.0
47,106.0,2.0
48,109.0,22.0
49,115.0,24.0
50,116.0,12.0
51,118.0,15.0
52,120.0,6.0
53,121.0,19.0
54,122.0,18.0
55,130.0,22.0
56,134.0,9.0
57,135.0,5.0
58,136.0,9.0
59,138.0,3.0
60,139.0,16.0
61,140.0,6.0
62,142.0,7.0
63,144.0,5.0
64,146.0,9.0
65,149.0,22.0
66,156.0,6.0
67,157.0,18.0
68,158.0,12.0
69,162.0,12.0
70,163.0,13.0
71,164.0,10.0
72,165.0,20.0
73,166.0,10.0
74,168.0,4.0
75,170.0,12.0
76,174.0,10.0
77,177.0,10.0
78,178.0,5.0
79,179.0,5.0
80,182.0,11.0
81,183.0,17.0
82,185.0,10.0
83,186.0,11.0
84,188.0,6.0
85,191.0,14.0
86,194.0,8.0
87,197.0,14.0
88,198.0,5.0
89,199.0,11.0
90,200.0,12.0
91,201.0,8.0
92,202.0,11.0
93,205.0,6.0
94,208.0,11.0
95,209.0,26.0
96,210.0,12.0
97,212.0,2.0
98,213.0,7.0
99,215.0,9.0
100,216.0,12.0
101,217.0,8.0
102,218.0,13.0
103,221.0,10.0
104,230.0,12.0
105,239.0,19.0
106,242.0,11.0
107,245.0,18.0
108,247.0,5.0
109,251.0,6.0
110,252.0,3.0
111,253.0,9.0
112,254.0,10.0
113,255.0,12.0
114,256.0,12.0
115,260.0,1.0
116,261.0,4.0
117,262.0,24.0
118,264.0,17.0
119,265.0,8.0
120,266.0,4.0
121,270.0,8.0
122,271.0,10.0
123,275.0,10.0
124,276.0,6.0
125,277.0,15.0
126,280.0,7.0
127,281.0,10.0
128,282.0,12.0
129,284.0,3.0
130,287.0,21.0
131,290.0,14.0
132,291.0,26.0
133,295.0,2.0
134,296.0,3.0
135,297.0,10.0
136,301.0,12.0
137,304.0,6.0
138,310.0,20.0
139,312.0,13.0
140,313.0,6.0
141,314.0,8.0
142,316.0,6.0
143,317.0,23.0
144,319.0,15.0
145,322.0,11.0
146,324.0,14.0
147,325.0,11.0
148,326.0,19.0
149,328.0,6.0
150,329.0,6.0
151,333.0,4.0
152,335.0,10.0
153,336.0,8.0
154,338.0,3.0
155,339.0,9.0
156,340.0,15.0
157,343.0,7.0
158,345.0,4.0
159,348.0,27.0
160,349.0,3.0
161,351.0,20.0
162,358.0,4.0
163,362.0,12.0
