,ori,hi_access
0,169890.0,80.0
1,151645.0,80.0
2,159438.0,77.0
3,20798.0,73.0
4,122603.0,73.0
5,1488.0,78.0
6,30390.0,67.0
7,5407.0,68.0
8,127395.0,72.0
9,83206.0,76.0
10,91971.0,73.0
11,152329.0,66.0
12,168285.0,63.0
13,117248.0,63.0
14,8639.0,63.0
15,180382.0,75.0
16,64098.0,63.0
17,111067.0,63.0
18,80509.0,62.0
19,39276.0,61.0
20,166950.0,61.0
21,166305.0,61.0
22,37526.0,61.0
23,118888.0,61.0
24,43984.0,61.0
25,172313.0,61.0
26,16092.0,61.0
27,143464.0,60.0
28,146763.0,73.0
29,124549.0,60.0
30,186546.0,59.0
31,157259.0,59.0
32,43082.0,59.0
33,170923.0,59.0
34,61023.0,73.0
35,167101.0,58.0
36,178095.0,63.0
37,110056.0,73.0
38,11821.0,59.0
39,126493.0,59.0
40,120486.0,59.0
41,7891.0,59.0
42,178503.0,61.0
43,41731.0,61.0
44,65565.0,61.0
45,183470.0,65.0
46,2865.0,60.0
47,181001.0,56.0
48,145412.0,56.0
49,93613.0,69.0
50,186488.0,59.0
51,184025.0,72.0
52,115251.0,63.0
53,83566.0,69.0
54,1536.0,56.0
55,91701.0,58.0
56,33878.0,69.0
57,113794.0,59.0
58,52356.0,58.0
59,66782.0,59.0
60,69925.0,55.0
61,112360.0,55.0
62,37895.0,58.0
63,93067.0,55.0
64,43276.0,56.0
65,60385.0,63.0
66,170518.0,58.0
67,42802.0,55.0
68,63892.0,65.0
69,5997.0,56.0
70,138352.0,58.0
71,176785.0,55.0
72,84281.0,55.0
73,11612.0,62.0
74,115443.0,55.0
75,156495.0,66.0
76,184890.0,58.0
77,182902.0,61.0
78,128992.0,55.0
79,9765.0,68.0
80,67026.0,58.0
81,153141.0,62.0
82,140389.0,56.0
83,124982.0,63.0
84,114327.0,57.0
85,111179.0,58.0
86,157507.0,59.0
87,131446.0,56.0
88,41119.0,55.0
89,10864.0,55.0
90,100496.0,58.0
91,85029.0,55.0
92,60293.0,55.0
93,116221.0,61.0
94,37105.0,66.0
95,48055.0,58.0
96,75771.0,59.0
97,21023.0,55.0
98,152537.0,58.0
99,29838.0,55.0
100,98649.0,59.0
101,12379.0,55.0
102,166205.0,58.0
103,7103.0,58.0
104,28158.0,55.0
105,155768.0,55.0
106,173209.0,55.0
107,96116.0,55.0
108,18388.0,58.0
109,14356.0,58.0
110,187575.0,55.0
111,91790.0,59.0
112,175827.0,55.0
113,3799.0,55.0
114,38714.0,66.0
115,106688.0,62.0
116,167272.0,54.0
117,60446.0,62.0
118,63066.0,54.0
119,152053.0,57.0
120,52843.0,57.0
121,178306.0,56.0
122,2995.0,54.0
123,19089.0,62.0
124,150792.0,58.0
125,70732.0,54.0
126,17684.0,54.0
127,178770.0,54.0
128,131842.0,58.0
129,103922.0,59.0
130,135323.0,54.0
131,24989.0,65.0
132,53352.0,62.0
133,147352.0,54.0
134,122221.0,59.0
135,89664.0,62.0
136,117924.0,62.0
137,85741.0,59.0
138,74928.0,54.0
139,155621.0,62.0
140,126972.0,53.0
141,105756.0,53.0
142,165970.0,53.0
143,164049.0,57.0
144,111761.0,53.0
145,57052.0,53.0
146,91942.0,57.0
147,176883.0,57.0
148,41063.0,53.0
149,39070.0,57.0
150,18772.0,53.0
151,46441.0,53.0
152,125784.0,53.0
153,185546.0,53.0
154,95410.0,53.0
155,123755.0,53.0
156,39697.0,56.0
157,118879.0,56.0
158,173515.0,57.0
159,150203.0,53.0
160,108519.0,54.0
161,39645.0,57.0
162,148294.0,53.0
163,3498.0,53.0
164,63654.0,57.0
165,71608.0,57.0
166,115906.0,53.0
167,22361.0,53.0
168,27091.0,53.0
169,80382.0,53.0
170,169501.0,53.0
171,25884.0,57.0
172,132542.0,57.0
173,78853.0,58.0
174,148759.0,61.0
175,135344.0,63.0
176,161412.0,57.0
177,16220.0,53.0
178,87554.0,53.0
179,152516.0,56.0
180,130911.0,57.0
181,70207.0,57.0
182,105843.0,73.0
183,52544.0,56.0
184,154834.0,68.0
185,33920.0,53.0
186,26877.0,77.0
187,150018.0,56.0
188,150624.0,51.0
189,153559.0,51.0
190,135482.0,51.0
191,27496.0,51.0
192,5434.0,51.0
193,110453.0,51.0
194,41405.0,53.0
195,184610.0,51.0
196,141361.0,51.0
197,135744.0,51.0
198,174083.0,51.0
199,32827.0,51.0
200,86793.0,51.0
201,48795.0,51.0
202,188687.0,51.0
203,107262.0,50.0
204,186764.0,50.0
205,93763.0,50.0
206,163808.0,65.0
207,104987.0,53.0
208,35092.0,56.0
209,92511.0,53.0
210,171357.0,56.0
211,85911.0,70.0
212,168875.0,50.0
213,122938.0,65.0
214,101702.0,65.0
215,145018.0,50.0
216,131703.0,60.0
217,57249.0,53.0
218,88758.0,53.0
219,5873.0,53.0
220,80532.0,65.0
221,102923.0,50.0
222,78724.0,70.0
223,109524.0,50.0
224,50711.0,50.0
225,5104.0,50.0
226,145654.0,63.0
227,84747.0,50.0
228,116493.0,50.0
229,54398.0,60.0
230,154657.0,50.0
231,79766.0,50.0
232,131629.0,73.0
233,116302.0,50.0
234,118518.0,61.0
235,94487.0,50.0
236,134109.0,63.0
237,96113.0,50.0
238,89804.0,52.0
239,58247.0,57.0
240,27595.0,50.0
241,179770.0,68.0
242,147173.0,49.0
243,119773.0,53.0
244,83464.0,49.0
245,4991.0,63.0
246,116316.0,58.0
247,127004.0,58.0
248,170145.0,52.0
249,23244.0,56.0
250,166336.0,59.0
251,51139.0,60.0
252,21874.0,49.0
253,114979.0,54.0
254,25302.0,56.0
255,121742.0,52.0
256,22903.0,56.0
257,6464.0,52.0
