,ori,hi_access
0,116204.0,37.0
1,135744.0,36.0
2,140045.0,35.0
3,53916.0,35.0
4,11794.0,34.0
5,63108.0,34.0
6,15667.0,35.0
7,63605.0,34.0
8,49143.0,34.0
9,164529.0,48.0
10,37398.0,48.0
11,185903.0,35.0
12,179132.0,38.0
13,4991.0,39.0
14,21874.0,34.0
15,113361.0,32.0
16,25302.0,34.0
17,61787.0,32.0
18,115892.0,33.0
19,32099.0,32.0
20,168555.0,34.0
21,8266.0,34.0
22,132997.0,33.0
23,48228.0,32.0
24,44157.0,33.0
25,54901.0,35.0
26,126389.0,37.0
27,150624.0,35.0
28,161915.0,35.0
29,23244.0,36.0
30,116033.0,35.0
31,180887.0,33.0
32,22903.0,36.0
33,127302.0,32.0
34,143876.0,39.0
35,86793.0,34.0
36,83464.0,34.0
37,10450.0,36.0
38,163523.0,31.0
39,67355.0,31.0
40,147884.0,31.0
41,72482.0,36.0
42,162328.0,32.0
43,165411.0,32.0
44,151645.0,31.0
45,170852.0,31.0
46,170784.0,31.0
47,180382.0,31.0
48,138967.0,31.0
49,64889.0,31.0
50,120182.0,31.0
51,139947.0,33.0
52,90783.0,38.0
53,61401.0,31.0
54,95938.0,33.0
55,169880.0,33.0
56,155867.0,33.0
57,63621.0,31.0
58,109959.0,35.0
59,15088.0,33.0
60,156777.0,31.0
61,93445.0,35.0
62,64915.0,31.0
63,98400.0,31.0
64,149788.0,32.0
65,11263.0,39.0
66,170049.0,31.0
67,122603.0,30.0
68,181784.0,36.0
69,96109.0,38.0
70,166114.0,34.0
71,21249.0,30.0
72,91971.0,30.0
73,14965.0,31.0
74,8277.0,31.0
75,151474.0,32.0
76,39903.0,38.0
77,127711.0,30.0
78,130485.0,32.0
79,11492.0,36.0
80,52155.0,32.0
81,142040.0,32.0
82,41822.0,38.0
83,114943.0,32.0
84,184613.0,30.0
85,21390.0,32.0
86,144786.0,30.0
87,34350.0,34.0
88,85049.0,39.0
89,25296.0,31.0
90,21824.0,31.0
91,89698.0,30.0
92,27290.0,30.0
93,151087.0,30.0
94,19848.0,30.0
95,190324.0,30.0
96,117256.0,39.0
97,11049.0,30.0
98,88787.0,30.0
99,107273.0,31.0
100,29750.0,30.0
101,172769.0,30.0
102,98964.0,31.0
103,84435.0,32.0
104,75709.0,34.0
105,48246.0,30.0
106,135741.0,30.0
107,186764.0,39.0
108,143312.0,38.0
109,65939.0,39.0
110,142830.0,30.0
111,44059.0,30.0
112,58522.0,30.0
113,25407.0,30.0
114,176949.0,31.0
115,89053.0,38.0
116,991.0,39.0
117,97220.0,38.0
118,70331.0,31.0
119,131813.0,31.0
120,139979.0,29.0
121,132135.0,29.0
122,116694.0,34.0
123,176586.0,31.0
124,160640.0,29.0
125,77457.0,31.0
126,154829.0,31.0
127,122578.0,31.0
128,15743.0,29.0
129,84877.0,29.0
130,102591.0,29.0
131,7414.0,31.0
132,17076.0,48.0
133,124855.0,30.0
134,104040.0,31.0
135,152382.0,31.0
136,37152.0,31.0
137,59205.0,32.0
138,181257.0,37.0
139,12119.0,29.0
140,19907.0,29.0
141,186878.0,29.0
142,13147.0,33.0
143,20948.0,31.0
144,52067.0,29.0
145,5154.0,29.0
146,9943.0,38.0
147,158253.0,30.0
148,150931.0,31.0
149,124775.0,29.0
150,100486.0,31.0
151,33676.0,29.0
152,26562.0,29.0
153,123716.0,30.0
154,132772.0,31.0
155,169295.0,29.0
156,89360.0,31.0
157,32078.0,33.0
158,113893.0,29.0
159,179901.0,29.0
160,67695.0,37.0
161,128186.0,31.0
162,29614.0,29.0
163,100868.0,30.0
164,178830.0,31.0
165,81934.0,29.0
166,55945.0,29.0
167,61852.0,29.0
168,130731.0,29.0
169,150918.0,30.0
170,13907.0,31.0
171,143688.0,37.0
172,158909.0,31.0
173,120990.0,31.0
174,53469.0,28.0
175,54959.0,30.0
176,70139.0,31.0
177,19294.0,28.0
178,170507.0,28.0
179,140264.0,32.0
180,184738.0,30.0
181,110929.0,30.0
182,104732.0,30.0
183,165858.0,29.0
184,81973.0,31.0
185,56461.0,32.0
186,168978.0,28.0
187,114753.0,31.0
188,177756.0,28.0
189,117136.0,30.0
190,173839.0,28.0
191,47352.0,30.0
192,154677.0,34.0
193,181796.0,30.0
194,127668.0,31.0
195,164524.0,30.0
196,47391.0,32.0
197,105921.0,28.0
198,142919.0,29.0
199,88689.0,31.0
200,134239.0,28.0
201,73813.0,30.0
202,168530.0,28.0
203,144294.0,28.0
204,66072.0,30.0
205,20349.0,32.0
206,165464.0,30.0
207,134802.0,28.0
208,168800.0,32.0
209,114978.0,28.0
210,150704.0,31.0
211,5450.0,30.0
212,100674.0,34.0
213,120409.0,31.0
214,43771.0,28.0
215,128185.0,31.0
216,122533.0,31.0
217,24087.0,31.0
218,14015.0,31.0
219,118355.0,30.0
220,77004.0,30.0
221,161670.0,28.0
222,129826.0,28.0
223,136631.0,30.0
224,188770.0,28.0
225,63585.0,32.0
226,44458.0,29.0
227,97702.0,29.0
228,84523.0,28.0
229,18367.0,37.0
230,47848.0,31.0
231,154622.0,32.0
232,27630.0,28.0
233,142252.0,28.0
234,72114.0,31.0
235,10424.0,30.0
236,180568.0,30.0
237,125716.0,33.0
238,2007.0,30.0
239,22431.0,31.0
240,133200.0,29.0
241,57754.0,32.0
242,121700.0,32.0
243,57693.0,31.0
244,93701.0,31.0
245,160521.0,31.0
246,32890.0,30.0
247,69791.0,28.0
248,164063.0,32.0
249,108307.0,30.0
250,29950.0,32.0
251,115516.0,28.0
252,56836.0,29.0
253,16419.0,31.0
254,150316.0,33.0
255,157364.0,28.0
256,161463.0,30.0
257,57316.0,28.0
258,37199.0,30.0
259,14660.0,31.0
260,82504.0,29.0
261,115321.0,31.0
262,17232.0,28.0
263,147858.0,32.0
264,92316.0,30.0
265,176086.0,30.0
266,129864.0,28.0
267,144897.0,30.0
268,89738.0,30.0
269,71161.0,30.0
270,104320.0,30.0
271,26833.0,31.0
272,56709.0,31.0
273,167436.0,28.0
274,140723.0,31.0
275,129389.0,37.0
276,41394.0,32.0
277,91581.0,31.0
278,68719.0,32.0
279,189811.0,32.0
280,79392.0,28.0
281,41820.0,28.0
282,63660.0,33.0
283,87315.0,30.0
284,55480.0,30.0
285,116010.0,28.0
286,122613.0,28.0
287,178209.0,33.0
288,142319.0,28.0
289,185365.0,28.0
290,149564.0,32.0
291,79785.0,34.0
292,109325.0,32.0
293,38131.0,29.0
294,149002.0,31.0
295,184610.0,31.0
296,147211.0,30.0
297,127692.0,28.0
298,127578.0,31.0
299,186771.0,30.0
300,170378.0,30.0
301,115066.0,30.0
302,12937.0,28.0
303,152927.0,28.0
304,124452.0,31.0
305,117866.0,30.0
306,89958.0,31.0
307,153535.0,28.0
308,175114.0,30.0
309,67154.0,28.0
310,166492.0,30.0
311,185206.0,30.0
312,160832.0,30.0
313,101925.0,32.0
314,140893.0,31.0
315,91438.0,28.0
316,150771.0,30.0
317,175885.0,31.0
318,22944.0,29.0
319,129120.0,30.0
320,145561.0,31.0
321,9924.0,28.0
322,186361.0,31.0
323,30695.0,36.0
324,162932.0,27.0
325,12173.0,28.0
326,106224.0,34.0
327,45015.0,27.0
328,34275.0,29.0
329,48294.0,31.0
330,170752.0,27.0
331,123882.0,33.0
332,137936.0,31.0
333,27655.0,33.0
334,145201.0,29.0
335,66167.0,39.0
336,38327.0,27.0
337,63604.0,31.0
338,178898.0,37.0
339,27689.0,28.0
340,186546.0,31.0
341,141410.0,27.0
342,185934.0,30.0
343,91923.0,30.0
344,82542.0,28.0
345,139427.0,27.0
346,72710.0,33.0
347,157158.0,28.0
348,151735.0,31.0
349,114256.0,28.0
350,171395.0,29.0
351,125770.0,28.0
352,187974.0,29.0
353,83941.0,31.0
354,36469.0,28.0
355,72929.0,33.0
356,135258.0,33.0
357,38169.0,27.0
358,542.0,36.0
359,165901.0,27.0
360,137603.0,28.0
361,75686.0,28.0
362,39843.0,31.0
363,170923.0,33.0
364,6512.0,36.0
365,47148.0,28.0
366,103852.0,28.0
367,68167.0,28.0
368,139347.0,33.0
369,18163.0,31.0
370,166008.0,31.0
371,58657.0,27.0
372,144735.0,33.0
373,144994.0,27.0
374,145055.0,28.0
375,11326.0,29.0
376,71346.0,34.0
377,103890.0,31.0
378,29870.0,34.0
379,187829.0,34.0
380,133254.0,27.0
381,46371.0,27.0
382,167497.0,28.0
383,34955.0,33.0
384,156377.0,31.0
385,6219.0,36.0
386,15546.0,37.0
387,189785.0,31.0
388,173485.0,31.0
389,111486.0,33.0
390,127096.0,27.0
391,147752.0,29.0
392,83843.0,34.0
393,131271.0,29.0
394,161256.0,28.0
395,80193.0,28.0
396,86882.0,32.0
397,99712.0,31.0
398,111966.0,29.0
399,142461.0,31.0
400,54423.0,28.0
401,43082.0,33.0
402,135093.0,29.0
403,119283.0,27.0
404,138219.0,27.0
405,14797.0,31.0
406,40576.0,29.0
407,50810.0,33.0
408,28106.0,29.0
409,30557.0,27.0
410,18184.0,37.0
411,68415.0,29.0
412,68043.0,28.0
413,147921.0,29.0
414,124546.0,31.0
415,86722.0,27.0
416,72882.0,30.0
417,100743.0,27.0
418,55484.0,30.0
419,6942.0,29.0
420,5201.0,36.0
421,88285.0,29.0
422,188508.0,29.0
423,91623.0,35.0
424,142783.0,36.0
425,37490.0,30.0
426,5784.0,28.0
427,77170.0,31.0
428,59700.0,31.0
429,133316.0,36.0
430,145412.0,37.0
431,58216.0,37.0
432,133133.0,29.0
433,171887.0,27.0
434,158939.0,30.0
435,33549.0,28.0
436,82751.0,31.0
437,24447.0,27.0
438,154232.0,35.0
439,108253.0,35.0
440,101099.0,27.0
441,22369.0,30.0
442,28565.0,27.0
443,118551.0,33.0
444,62131.0,30.0
445,111422.0,33.0
446,96909.0,33.0
447,96357.0,29.0
448,49661.0,29.0
449,148801.0,28.0
450,142818.0,27.0
451,17075.0,28.0
452,3188.0,27.0
453,150563.0,33.0
454,74159.0,27.0
455,98084.0,28.0
456,138890.0,30.0
457,178765.0,31.0
458,188039.0,27.0
459,181803.0,28.0
460,134627.0,27.0
461,148068.0,28.0
462,126997.0,30.0
463,125265.0,45.0
464,166469.0,26.0
465,82186.0,36.0
466,85836.0,27.0
467,142251.0,44.0
468,187805.0,28.0
469,22249.0,26.0
470,68776.0,28.0
471,119353.0,28.0
472,71266.0,29.0
473,164144.0,35.0
474,58902.0,27.0
475,107344.0,29.0
476,158333.0,26.0
477,35443.0,29.0
478,184183.0,37.0
479,138639.0,32.0
480,77217.0,29.0
481,77231.0,31.0
482,30553.0,29.0
483,120156.0,29.0
484,12025.0,28.0
485,170306.0,26.0
486,8750.0,45.0
487,121960.0,26.0
488,6647.0,29.0
489,127004.0,39.0
490,39218.0,26.0
491,22493.0,29.0
492,169418.0,35.0
493,159850.0,30.0
494,127543.0,29.0
495,54149.0,30.0
496,54146.0,29.0
497,10311.0,26.0
498,114006.0,32.0
499,170873.0,29.0
500,6765.0,37.0
501,4221.0,29.0
502,104581.0,37.0
503,37851.0,26.0
504,85011.0,31.0
505,59381.0,26.0
506,156947.0,26.0
507,143492.0,26.0
508,81816.0,30.0
509,171315.0,28.0
510,30586.0,27.0
511,107760.0,29.0
512,85790.0,26.0
513,121808.0,31.0
514,128455.0,26.0
515,94206.0,29.0
516,158155.0,44.0
517,97435.0,26.0
518,142682.0,44.0
519,151056.0,26.0
520,71349.0,30.0
521,117698.0,44.0
522,124097.0,26.0
523,146740.0,37.0
524,15382.0,42.0
525,10359.0,37.0
526,84310.0,29.0
527,15817.0,27.0
528,51805.0,26.0
529,138063.0,28.0
530,69901.0,28.0
531,106142.0,29.0
532,139815.0,26.0
533,67940.0,26.0
534,116316.0,39.0
535,177978.0,26.0
536,74927.0,45.0
537,102037.0,42.0
538,166683.0,28.0
539,189690.0,28.0
540,98899.0,27.0
541,119070.0,42.0
542,61214.0,26.0
543,118211.0,28.0
544,76248.0,37.0
545,141519.0,27.0
546,7693.0,26.0
547,55295.0,28.0
548,74842.0,33.0
549,95048.0,26.0
550,128042.0,29.0
551,98230.0,29.0
552,123225.0,27.0
553,169006.0,29.0
554,129814.0,29.0
555,81445.0,26.0
556,188986.0,28.0
557,23047.0,39.0
558,122496.0,39.0
559,114337.0,32.0
560,144863.0,45.0
561,28405.0,44.0
562,121742.0,35.0
563,109912.0,29.0
564,143614.0,26.0
565,124898.0,44.0
566,187566.0,44.0
567,95305.0,33.0
568,187721.0,28.0
569,54532.0,28.0
570,142060.0,26.0
571,36598.0,26.0
572,78414.0,26.0
573,185276.0,28.0
574,102288.0,28.0
575,87439.0,31.0
576,31521.0,26.0
577,166767.0,31.0
578,187368.0,31.0
579,33290.0,29.0
580,129256.0,32.0
581,173242.0,26.0
582,138545.0,28.0
583,38746.0,33.0
584,119207.0,27.0
585,173825.0,29.0
586,33718.0,29.0
587,131836.0,29.0
588,46510.0,35.0
589,133079.0,26.0
590,48771.0,26.0
591,105616.0,30.0
592,2826.0,37.0
593,127264.0,28.0
594,6464.0,42.0
595,176874.0,42.0
596,25327.0,35.0
597,141054.0,29.0
598,52004.0,28.0
599,101968.0,26.0
600,23669.0,44.0
601,54827.0,26.0
602,161347.0,30.0
603,13975.0,39.0
604,38978.0,26.0
605,110738.0,28.0
606,159303.0,28.0
607,128273.0,29.0
608,163764.0,32.0
609,153932.0,42.0
610,81192.0,29.0
611,170145.0,39.0
612,136055.0,26.0
613,122056.0,28.0
614,96394.0,39.0
615,114979.0,39.0
616,38654.0,28.0
617,45199.0,29.0
618,33877.0,44.0
619,117219.0,26.0
620,44479.0,32.0
621,24746.0,26.0
622,119707.0,26.0
623,184862.0,42.0
624,168535.0,29.0
625,9112.0,35.0
626,173243.0,35.0
627,130714.0,29.0
628,167424.0,45.0
629,30861.0,28.0
630,141347.0,29.0
631,111037.0,31.0
632,157697.0,37.0
633,154938.0,28.0
634,29706.0,34.0
635,104822.0,31.0
636,84691.0,27.0
637,32177.0,44.0
638,178423.0,31.0
639,139615.0,26.0
640,99157.0,35.0
641,98590.0,26.0
642,55130.0,28.0
643,62081.0,29.0
644,79647.0,29.0
645,131610.0,25.0
646,151652.0,25.0
647,175581.0,28.0
648,78410.0,26.0
649,90332.0,30.0
650,71990.0,27.0
651,126961.0,32.0
652,57109.0,25.0
653,129607.0,32.0
654,175772.0,25.0
655,126570.0,29.0
656,52792.0,27.0
657,122713.0,27.0
658,119660.0,30.0
659,179844.0,29.0
660,81624.0,25.0
661,103597.0,25.0
662,44337.0,28.0
663,12908.0,25.0
664,68975.0,25.0
665,29187.0,26.0
666,24179.0,25.0
667,143066.0,30.0
668,117106.0,29.0
669,117343.0,32.0
670,71613.0,26.0
671,44938.0,29.0
672,105220.0,25.0
673,33878.0,25.0
674,93037.0,29.0
675,85174.0,26.0
676,8555.0,30.0
677,64260.0,25.0
678,45317.0,28.0
679,36873.0,26.0
680,23071.0,25.0
681,14192.0,28.0
682,137662.0,28.0
683,136024.0,27.0
684,65178.0,30.0
685,55401.0,26.0
686,36102.0,26.0
687,182556.0,31.0
688,39942.0,25.0
689,4384.0,29.0
690,161293.0,28.0
691,44055.0,30.0
692,91890.0,26.0
693,21877.0,25.0
694,169549.0,36.0
695,135234.0,25.0
696,105015.0,31.0
697,18949.0,25.0
698,2590.0,25.0
699,110178.0,25.0
700,14328.0,25.0
701,161940.0,27.0
702,163475.0,26.0
703,80943.0,26.0
704,4081.0,29.0
705,140970.0,26.0
706,127847.0,27.0
707,102936.0,26.0
708,176571.0,28.0
709,49755.0,29.0
710,146975.0,26.0
711,170304.0,25.0
712,126019.0,26.0
713,172060.0,30.0
714,137560.0,26.0
715,96570.0,29.0
716,115193.0,30.0
717,57476.0,25.0
718,123694.0,26.0
719,44039.0,25.0
720,4560.0,33.0
721,83453.0,30.0
722,38151.0,26.0
723,64348.0,27.0
724,145971.0,30.0
725,60401.0,34.0
726,183924.0,31.0
727,189086.0,26.0
728,80520.0,25.0
729,35230.0,25.0
730,137383.0,25.0
731,100390.0,25.0
732,184025.0,25.0
733,138899.0,27.0
734,88163.0,33.0
735,127480.0,28.0
736,72139.0,25.0
737,187871.0,25.0
738,143934.0,30.0
739,155329.0,32.0
