,ori,lo_transittime
0,0.0,16.0
1,2.0,26.0
2,3.0,20.0
3,4.0,13.0
4,6.0,10.0
5,7.0,12.0
6,8.0,5.0
7,11.0,23.0
8,12.0,13.0
9,16.0,19.0
10,25.0,12.0
11,28.0,5.0
12,33.0,3.0
13,34.0,20.0
14,35.0,9.0
15,37.0,9.0
16,38.0,11.0
17,41.0,8.0
18,42.0,7.0
19,44.0,12.0
20,52.0,9.0
21,54.0,20.0
22,55.0,8.0
23,56.0,12.0
24,57.0,21.0
25,58.0,10.0
26,63.0,20.0
27,65.0,11.0
28,68.0,27.0
29,70.0,19.0
30,75.0,5.0
31,77.0,16.0
32,79.0,14.0
33,80.0,15.0
34,86.0,12.0
35,92.0,14.0
36,94.0,16.0
37,99.0,16.0
38,101.0,9.0
39,103.0,11.0
40,105.0,19.0
41,106.0,13.0
42,109.0,17.0
43,115.0,29.0
44,116.0,15.0
45,120.0,13.0
46,121.0,30.0
47,122.0,22.0
48,134.0,17.0
49,135.0,12.0
50,136.0,14.0
51,139.0,9.0
52,140.0,12.0
53,142.0,7.0
54,144.0,29.0
55,146.0,7.0
56,148.0,27.0
57,149.0,11.0
58,156.0,8.0
59,158.0,11.0
60,162.0,28.0
61,163.0,1.0
62,164.0,6.0
63,165.0,20.0
64,166.0,9.0
65,168.0,9.0
66,170.0,12.0
67,174.0,14.0
68,178.0,12.0
69,179.0,10.0
70,182.0,25.0
71,183.0,13.0
72,186.0,5.0
73,188.0,20.0
74,189.0,15.0
75,191.0,16.0
76,194.0,7.0
77,197.0,22.0
78,198.0,11.0
79,199.0,9.0
80,200.0,16.0
81,201.0,8.0
82,202.0,25.0
83,205.0,6.0
84,208.0,21.0
85,210.0,6.0
86,212.0,18.0
87,213.0,13.0
88,215.0,25.0
89,216.0,11.0
90,221.0,5.0
91,230.0,14.0
92,239.0,12.0
93,242.0,22.0
94,244.0,29.0
95,245.0,20.0
96,247.0,12.0
97,251.0,5.0
98,252.0,22.0
99,253.0,15.0
100,254.0,8.0
101,255.0,8.0
102,256.0,17.0
103,260.0,17.0
104,261.0,5.0
105,264.0,11.0
106,265.0,12.0
107,266.0,6.0
108,270.0,9.0
109,271.0,6.0
110,275.0,5.0
111,276.0,21.0
112,277.0,13.0
113,280.0,6.0
114,281.0,10.0
115,282.0,14.0
116,284.0,7.0
117,285.0,10.0
118,287.0,20.0
119,290.0,25.0
120,292.0,22.0
121,295.0,9.0
122,296.0,13.0
123,297.0,13.0
124,301.0,9.0
125,304.0,4.0
126,312.0,5.0
127,313.0,11.0
128,314.0,10.0
129,316.0,24.0
130,319.0,15.0
131,322.0,1.0
132,325.0,16.0
133,328.0,22.0
134,329.0,6.0
135,333.0,10.0
136,335.0,9.0
137,336.0,14.0
138,339.0,6.0
139,343.0,12.0
140,345.0,13.0
141,348.0,20.0
142,349.0,18.0
143,358.0,6.0
144,362.0,18.0
145,370.0,5.0
146,372.0,17.0
147,373.0,4.0
148,376.0,18.0
149,380.0,6.0
150,382.0,25.0
151,391.0,21.0
152,395.0,12.0
153,399.0,8.0
154,400.0,5.0
155,401.0,9.0
156,402.0,11.0
157,405.0,3.0
158,407.0,14.0
159,409.0,16.0
160,416.0,3.0
161,417.0,12.0
162,420.0,21.0
163,422.0,9.0
164,425.0,19.0
165,432.0,21.0
166,433.0,11.0
167,448.0,8.0
168,459.0,17.0
169,464.0,12.0
170,466.0,12.0
171,470.0,18.0
172,473.0,11.0
173,481.0,24.0
174,482.0,8.0
175,483.0,18.0
176,486.0,12.0
177,488.0,9.0
178,490.0,13.0
179,491.0,9.0
180,493.0,16.0
181,494.0,18.0
182,496.0,8.0
183,497.0,23.0
184,498.0,28.0
185,499.0,30.0
186,504.0,16.0
187,505.0,21.0
188,509.0,11.0
189,514.0,24.0
190,515.0,7.0
191,516.0,21.0
192,517.0,13.0
193,522.0,26.0
194,523.0,12.0
195,525.0,6.0
196,529.0,15.0
197,531.0,8.0
198,532.0,11.0
199,534.0,10.0
200,540.0,18.0
201,542.0,4.0
202,543.0,6.0
203,544.0,19.0
204,549.0,4.0
205,552.0,8.0
206,553.0,26.0
207,554.0,5.0
208,555.0,12.0
209,558.0,9.0
210,561.0,4.0
211,571.0,12.0
212,578.0,18.0
213,581.0,14.0
214,582.0,7.0
215,583.0,3.0
216,584.0,15.0
217,585.0,4.0
218,587.0,16.0
219,590.0,10.0
220,592.0,8.0
221,594.0,16.0
222,598.0,14.0
223,604.0,13.0
224,605.0,6.0
225,616.0,8.0
226,617.0,6.0
227,622.0,8.0
228,623.0,25.0
229,626.0,26.0
230,627.0,13.0
231,628.0,18.0
232,629.0,19.0
233,632.0,3.0
234,633.0,9.0
235,639.0,12.0
236,640.0,28.0
237,641.0,28.0
238,647.0,5.0
239,650.0,19.0
240,654.0,10.0
241,655.0,9.0
242,657.0,25.0
243,659.0,13.0
244,661.0,12.0
245,662.0,12.0
246,665.0,14.0
247,669.0,8.0
248,675.0,8.0
249,676.0,15.0
250,678.0,17.0
251,681.0,10.0
252,690.0,15.0
253,691.0,20.0
254,695.0,25.0
255,696.0,23.0
256,698.0,14.0
257,703.0,9.0
258,704.0,8.0
259,708.0,13.0
260,709.0,15.0
261,712.0,16.0
262,713.0,13.0
263,716.0,29.0
264,717.0,10.0
265,718.0,6.0
266,719.0,14.0
267,727.0,17.0
268,729.0,16.0
269,731.0,24.0
270,732.0,3.0
271,735.0,27.0
272,737.0,5.0
273,738.0,8.0
274,739.0,12.0
275,743.0,1.0
276,744.0,25.0
277,745.0,21.0
278,746.0,2.0
279,748.0,13.0
280,749.0,15.0
281,750.0,9.0
282,751.0,16.0
283,753.0,7.0
284,754.0,8.0
285,755.0,7.0
286,757.0,9.0
287,758.0,11.0
288,759.0,16.0
289,763.0,16.0
290,764.0,4.0
291,765.0,9.0
292,767.0,13.0
293,768.0,11.0
294,769.0,19.0
295,771.0,13.0
296,772.0,23.0
297,775.0,9.0
298,776.0,19.0
299,779.0,5.0
300,780.0,10.0
301,782.0,21.0
302,786.0,27.0
303,787.0,18.0
304,790.0,10.0
305,797.0,15.0
306,800.0,16.0
307,804.0,15.0
308,806.0,10.0
309,807.0,4.0
310,812.0,17.0
311,813.0,21.0
312,816.0,13.0
313,817.0,19.0
314,820.0,21.0
315,824.0,9.0
316,825.0,25.0
317,827.0,10.0
318,828.0,10.0
