,ori,hi_access
0,111067.0,28.0
1,64098.0,28.0
2,30390.0,30.0
3,168285.0,28.0
4,152329.0,29.0
5,8639.0,28.0
6,117248.0,28.0
7,93067.0,27.0
8,3799.0,27.0
9,18388.0,28.0
10,41119.0,27.0
11,138352.0,28.0
12,111179.0,28.0
13,84281.0,27.0
14,67026.0,28.0
15,184890.0,28.0
16,173209.0,27.0
17,28158.0,27.0
18,187575.0,27.0
19,14356.0,28.0
20,69925.0,27.0
21,100496.0,28.0
22,48055.0,28.0
23,156495.0,30.0
24,170518.0,28.0
25,166205.0,28.0
26,7103.0,28.0
27,152537.0,28.0
28,21023.0,27.0
29,52356.0,28.0
30,29838.0,27.0
31,176785.0,27.0
32,128992.0,27.0
33,37895.0,28.0
34,37105.0,30.0
35,38714.0,30.0
36,13975.0,25.0
37,82186.0,30.0
38,143876.0,31.0
39,179132.0,31.0
40,122496.0,25.0
41,121742.0,30.0
42,23047.0,30.0
43,114337.0,25.0
44,21874.0,25.0
45,114979.0,31.0
46,167424.0,29.0
47,86793.0,29.0
48,83464.0,25.0
49,170145.0,25.0
50,23244.0,30.0
51,6765.0,30.0
52,173243.0,25.0
53,168555.0,30.0
54,6464.0,25.0
55,46510.0,25.0
56,146740.0,29.0
57,184183.0,30.0
58,4991.0,31.0
59,23669.0,26.0
60,119070.0,28.0
61,127004.0,29.0
62,15382.0,30.0
63,102037.0,31.0
64,25327.0,29.0
65,10450.0,31.0
66,25302.0,30.0
67,22903.0,30.0
68,150624.0,25.0
69,116316.0,31.0
70,33877.0,27.0
71,89698.0,24.0
72,59362.0,29.0
73,50186.0,24.0
74,135185.0,24.0
75,124633.0,24.0
76,159438.0,26.0
77,27689.0,24.0
78,105376.0,24.0
79,48228.0,29.0
80,163764.0,24.0
81,180887.0,24.0
82,76248.0,24.0
83,44157.0,23.0
84,187368.0,23.0
85,178423.0,27.0
86,75626.0,23.0
87,145412.0,23.0
88,59425.0,23.0
89,44479.0,23.0
90,74842.0,26.0
91,111037.0,26.0
92,170923.0,22.0
93,158527.0,23.0
94,176925.0,24.0
95,186546.0,22.0
96,95305.0,27.0
97,159279.0,22.0
98,44870.0,22.0
99,157259.0,22.0
100,71085.0,22.0
101,43082.0,22.0
102,91701.0,23.0
103,43276.0,21.0
104,1407.0,22.0
105,60446.0,23.0
106,182902.0,22.0
107,95393.0,21.0
108,140389.0,21.0
109,43212.0,21.0
110,53352.0,21.0
111,19089.0,21.0
