ori,lo_transittime
0,17.04
2,25.86
3,20.38
6,16.28
7,12.42
8,5.13
11,21.41
12,12.79
16,16.13
21,31.47
25,15.39
27,37.0
28,5.14
33,2.92
34,20.31
35,9.73
36,38.33
37,8.34
38,10.68
41,7.78
42,6.99
44,11.82
50,15.22
52,8.78
54,19.53
55,7.8
56,16.81
57,18.03
58,17.21
63,19.77
65,13.44
68,27.85
70,18.91
74,36.43
75,4.59
77,17.35
79,13.65
80,15.74
86,16.31
88,33.52
92,10.27
94,18.99
97,36.14
99,15.8
101,14.77
103,10.9
105,19.39
106,12.79
109,16.84
115,29.22
116,14.48
118,22.95
120,13.15
121,24.39
122,19.36
130,27.43
134,16.51
135,8.15
136,13.52
139,9.18
140,10.91
142,6.86
144,28.59
146,6.83
148,27.02
149,11.01
156,7.87
157,17.81
158,11.43
162,28.47
163,1.27
164,6.51
165,19.67
166,9.78
168,13.63
170,11.95
174,14.36
177,37.79
178,10.73
179,9.92
182,17.78
183,12.55
185,31.66
186,4.7
188,11.14
189,15.19
191,15.66
194,7.28
197,22.3
198,11.07
199,8.82
200,16.39
201,8.37
202,16.78
205,5.56
208,20.92
210,6.79
212,14.23
213,13.41
215,25.07
216,17.35
217,38.9
221,4.65
230,13.39
239,12.48
242,21.94
244,28.78
245,20.3
247,10.64
251,4.63
252,20.9
253,18.01
254,8.96
255,6.57
256,16.94
260,10.82
261,4.62
264,10.51
265,10.12
266,7.06
270,8.78
271,6.46
275,5.45
276,21.3
277,12.73
280,6.28
281,9.78
282,13.77
284,6.35
285,10.02
287,26.0
290,22.03
291,37.0
292,21.61
295,17.57
296,8.7
297,18.98
301,8.67
304,4.48
312,4.66
313,16.12
314,12.48
316,26.19
317,31.44
319,16.57
322,1.39
324,16.98
325,15.55
326,37.0
328,21.73
329,6.29
331,36.26
333,9.77
335,8.75
336,14.77
338,33.03
339,9.29
340,13.12
342,32.98
343,11.55
345,13.04
348,19.84
349,17.55
351,28.35
358,5.95
362,18.37
367,36.9
370,4.16
372,17.88
373,4.26
376,18.07
377,21.45
380,15.73
382,25.44
384,25.31
387,34.57
391,20.94
395,11.73
397,16.95
399,20.13
400,4.56
401,9.38
402,18.18
405,3.42
407,12.51
409,16.07
412,31.04
416,3.49
417,21.62
418,39.84
420,20.93
422,6.38
425,18.72
432,20.87
433,10.84
441,33.35
442,20.39
448,7.72
450,36.86
459,17.26
462,32.17
464,13.38
466,12.33
470,21.99
472,33.31
473,11.63
481,24.59
482,8.31
483,18.47
486,10.41
488,9.1
490,13.54
491,8.38
493,15.93
494,18.03
496,8.04
497,23.23
498,28.09
499,29.57
504,14.51
505,21.31
509,10.08
514,23.56
515,7.1
516,21.17
517,12.53
522,26.15
523,12.03
525,4.88
529,14.65
531,7.9
532,10.88
534,10.63
540,17.88
541,38.44
542,4.48
543,6.25
544,14.66
549,3.52
552,7.41
553,25.65
554,6.06
555,18.54
558,9.05
561,4.84
567,30.87
571,16.29
578,17.76
581,11.88
582,6.92
583,3.0
584,15.05
585,5.49
587,16.36
590,10.03
592,9.21
594,13.09
595,16.85
598,14.16
604,13.32
605,5.54
616,11.39
617,6.27
622,7.98
623,25.42
626,26.16
627,14.38
628,17.57
629,19.36
632,3.08
633,9.23
637,31.92
639,10.41
640,28.39
641,27.75
644,36.4
647,5.97
650,18.87
654,9.75
655,5.21
657,25.01
659,13.16
661,12.21
662,12.22
663,31.78
665,14.14
669,8.17
675,7.09
676,15.21
678,17.05
680,30.28
681,5.9
690,16.77
691,19.9
695,24.74
696,23.0
698,7.88
703,10.59
704,9.77
708,13.37
709,14.81
712,16.22
713,8.58
716,29.12
717,26.77
718,5.87
719,19.92
727,17.29
729,16.34
731,23.79
732,2.87
735,26.97
736,39.09
737,5.43
738,7.75
739,11.74
743,0.63
744,24.78
745,21.36
746,2.11
748,25.69
