ori,hi_access
0,8.0
2,2.0
3,6.0
6,8.0
7,3.0
8,5.0
11,7.0
12,16.0
16,12.0
21,4.0
25,10.0
27,2.0
28,6.0
33,29.0
34,1.0
35,20.0
36,1.0
37,29.0
38,13.0
41,5.0
42,21.0
44,24.0
50,4.0
52,10.0
54,3.0
55,2.0
56,4.0
57,22.0
58,2.0
63,1.0
65,10.0
68,6.0
70,4.0
74,2.0
75,15.0
77,10.0
79,9.0
80,15.0
86,15.0
88,5.0
92,12.0
94,9.0
97,1.0
99,7.0
101,9.0
103,6.0
105,2.0
106,2.0
109,4.0
115,6.0
116,13.0
118,9.0
120,17.0
121,3.0
122,15.0
130,7.0
134,12.0
135,30.0
136,2.0
139,4.0
140,27.0
142,19.0
144,7.0
146,15.0
148,2.0
149,3.0
156,25.0
157,12.0
158,21.0
162,8.0
163,3.0
164,12.0
165,5.0
166,6.0
168,12.0
170,5.0
174,12.0
177,3.0
178,21.0
179,23.0
182,6.0
183,2.0
185,4.0
186,8.0
188,23.0
189,3.0
191,4.0
194,20.0
197,8.0
198,12.0
199,8.0
200,12.0
201,12.0
202,5.0
205,25.0
208,7.0
210,4.0
212,13.0
213,8.0
215,2.0
216,6.0
217,1.0
221,18.0
230,22.0
239,3.0
242,15.0
244,3.0
245,13.0
247,5.0
251,9.0
252,5.0
253,14.0
254,23.0
255,24.0
256,19.0
260,8.0
261,34.0
264,10.0
265,18.0
266,23.0
270,26.0
271,12.0
275,27.0
276,11.0
277,4.0
280,21.0
281,22.0
282,6.0
284,16.0
285,3.0
287,2.0
290,16.0
291,4.0
292,6.0
295,5.0
296,7.0
297,10.0
301,12.0
304,26.0
312,16.0
313,16.0
314,24.0
316,4.0
317,2.0
319,7.0
322,7.0
324,11.0
325,15.0
326,2.0
328,3.0
329,18.0
331,2.0
333,9.0
335,9.0
336,9.0
338,2.0
339,12.0
340,14.0
342,1.0
343,6.0
345,9.0
348,2.0
349,2.0
351,4.0
358,22.0
362,1.0
367,2.0
370,21.0
372,20.0
373,32.0
376,12.0
377,13.0
380,7.0
382,5.0
384,6.0
387,2.0
391,11.0
395,16.0
397,9.0
399,9.0
400,9.0
401,31.0
402,8.0
405,31.0
407,22.0
409,27.0
412,3.0
416,29.0
417,1.0
418,1.0
420,1.0
422,19.0
425,3.0
432,7.0
433,21.0
441,2.0
442,10.0
448,36.0
450,1.0
459,8.0
462,1.0
464,15.0
466,9.0
470,10.0
472,4.0
473,21.0
481,5.0
482,9.0
483,5.0
486,14.0
488,7.0
490,15.0
491,19.0
493,3.0
494,3.0
496,7.0
497,6.0
498,5.0
499,5.0
504,13.0
505,11.0
509,11.0
514,5.0
515,5.0
516,3.0
517,23.0
522,5.0
523,2.0
525,16.0
529,17.0
531,23.0
532,13.0
534,22.0
540,5.0
541,1.0
542,30.0
543,24.0
544,9.0
549,24.0
552,18.0
553,4.0
554,24.0
555,5.0
558,7.0
561,28.0
567,1.0
571,4.0
578,1.0
581,14.0
582,14.0
583,17.0
584,8.0
585,26.0
587,11.0
590,22.0
592,12.0
594,17.0
595,4.0
598,4.0
604,4.0
605,14.0
616,15.0
617,29.0
622,26.0
623,3.0
626,2.0
627,16.0
628,13.0
629,12.0
632,9.0
633,20.0
637,2.0
639,15.0
640,2.0
641,3.0
644,1.0
647,10.0
650,5.0
654,9.0
655,16.0
657,1.0
659,6.0
661,7.0
662,11.0
663,2.0
665,6.0
669,26.0
675,23.0
676,2.0
678,4.0
680,2.0
681,13.0
690,9.0
691,11.0
695,3.0
696,5.0
698,16.0
703,8.0
704,23.0
708,3.0
709,12.0
712,11.0
713,36.0
716,4.0
717,5.0
718,11.0
719,5.0
727,2.0
729,11.0
731,3.0
732,28.0
735,1.0
736,1.0
737,17.0
738,25.0
739,7.0
743,25.0
744,6.0
745,4.0
746,8.0
748,6.0
749,23.0
750,6.0
751,2.0
753,23.0
754,18.0
755,19.0
757,2.0
758,20.0
759,2.0
763,1.0
764,29.0
765,30.0
767,8.0
768,9.0
769,1.0
771,4.0
772,2.0
774,1.0
775,23.0
776,4.0
779,20.0
780,16.0
782,3.0
786,2.0
787,5.0
790,16.0
791,2.0
797,15.0
798,8.0
800,16.0
804,5.0
806,11.0
807,18.0
812,2.0
813,7.0
816,25.0
817,5.0
818,2.0
820,2.0
824,23.0
825,7.0
827,12.0
828,9.0
829,6.0
832,9.0
833,18.0
835,12.0
838,18.0
841,20.0
845,11.0
848,1.0
850,14.0
851,32.0
852,15.0
857,4.0
860,1.0
862,21.0
864,2.0
866,2.0
867,3.0
868,25.0
869,13.0
871,31.0
872,6.0
873,32.0
876,2.0
879,19.0
880,3.0
883,19.0
884,3.0
886,14.0
887,3.0
890,1.0
892,35.0
896,22.0
897,32.0
898,24.0
900,4.0
902,10.0
904,19.0
905,26.0
909,3.0
910,11.0
911,4.0
913,6.0
916,40.0
920,24.0
922,10.0
925,18.0
927,5.0
928,34.0
932,11.0
933,7.0
935,6.0
939,16.0
942,8.0
943,5.0
944,24.0
946,3.0
948,12.0
951,23.0
953,12.0
958,10.0
964,4.0
965,11.0
967,5.0
970,15.0
971,12.0
973,10.0
976,4.0
977,12.0
978,4.0
981,6.0
982,8.0
985,5.0
987,3.0
988,17.0
989,5.0
991,28.0
992,28.0
993,30.0
994,17.0
995,24.0
997,10.0
1003,12.0
1006,2.0
1010,9.0
1014,18.0
1018,4.0
1020,17.0
1021,20.0
1022,17.0
1023,9.0
1027,5.0
1030,3.0
1033,19.0
1042,8.0
1043,1.0
1044,1.0
1048,20.0
1051,8.0
1055,31.0
1056,25.0
1058,3.0
1059,17.0
1060,21.0
1061,6.0
1062,1.0
1063,2.0
1064,26.0
1065,1.0
1066,2.0
1067,6.0
1068,21.0
1069,2.0
1074,12.0
1076,17.0
1077,7.0
1079,2.0
1081,7.0
1082,8.0
1083,12.0
1086,15.0
1091,1.0
1092,4.0
1095,16.0
1096,3.0
1100,24.0
1101,2.0
1102,8.0
1104,4.0
1106,25.0
1108,22.0
1109,5.0
1110,20.0
1111,22.0
1114,24.0
1116,12.0
1118,10.0
1124,14.0
1126,3.0
1127,24.0
1128,7.0
1131,2.0
1132,5.0
1134,9.0
1135,4.0
1139,7.0
1140,13.0
1142,11.0
1144,1.0
1146,25.0
1154,2.0
1159,19.0
1164,17.0
1165,2.0
1166,3.0
1168,4.0
1170,2.0
1171,18.0
1173,11.0
1174,8.0
1175,21.0
1177,1.0
1179,4.0
1182,14.0
1184,33.0
1185,2.0
1186,2.0
1187,6.0
1191,3.0
1192,2.0
1193,1.0
1197,31.0
1198,20.0
1200,16.0
1201,7.0
1203,33.0
1205,7.0
1209,3.0
1213,9.0
1215,4.0
1219,16.0
1221,26.0
1229,1.0
1233,19.0
1234,4.0
1235,21.0
1236,11.0
1239,28.0
1240,2.0
1241,2.0
1243,3.0
1248,17.0
1253,3.0
1256,9.0
1257,22.0
1260,16.0
1261,5.0
1263,3.0
1264,17.0
1266,1.0
1267,3.0
1270,5.0
1272,4.0
1278,11.0
1282,25.0
1283,11.0
1285,21.0
1286,21.0
1290,1.0
1292,1.0
1296,20.0
1297,9.0
1298,24.0
1301,5.0
1303,6.0
1307,4.0
1308,7.0
1310,18.0
1312,18.0
1314,17.0
1315,10.0
1316,7.0
1321,13.0
1323,7.0
1324,4.0
1325,18.0
1326,11.0
1327,13.0
1333,7.0
1336,8.0
1339,21.0
1344,2.0
1350,12.0
1352,23.0
1356,22.0
1357,4.0
1358,5.0
1361,2.0
1365,3.0
1371,18.0
1372,14.0
1375,2.0
1379,15.0
1382,3.0
1385,8.0
1388,7.0
1392,2.0
1393,1.0
1394,3.0
1395,2.0
1399,3.0
1400,5.0
1402,20.0
1404,8.0
1406,8.0
1407,29.0
1409,4.0
1410,5.0
1411,17.0
1412,2.0
1413,14.0
1414,20.0
1421,30.0
1422,8.0
1423,7.0
1426,3.0
1431,2.0
1432,21.0
1435,6.0
1442,13.0
1446,4.0
1451,11.0
1460,6.0
1463,12.0
1465,4.0
1467,21.0
1468,4.0
1473,9.0
1475,8.0
1476,18.0
1477,15.0
1482,8.0
1483,4.0
1484,1.0
1487,3.0
1488,32.0
1489,14.0
1492,15.0
1493,15.0
1494,5.0
1497,27.0
1500,1.0
1503,2.0
1504,19.0
1505,12.0
1506,14.0
1509,2.0
1515,22.0
1516,1.0
1517,25.0
1518,19.0
1521,1.0
1522,7.0
1525,9.0
1526,15.0
1527,16.0
1529,22.0
1531,22.0
1533,7.0
1534,2.0
1536,22.0
1537,6.0
1538,7.0
1541,25.0
1543,30.0
1545,7.0
1548,1.0
1550,6.0
