,node_area,number_reachable
0,134218,8
1,109496,8
2,76905,8
3,189192,8
4,52496,8
5,132933,8
6,43769,8
7,66267,8
8,153372,8
9,16431,8
10,29998,8
11,121820,8
12,50778,8
13,181447,8
14,104113,8
15,98446,8
16,48708,8
17,179648,8
18,150420,8
19,85796,8
20,108018,8
21,145339,8
22,57096,8
23,158755,8
24,107354,8
25,40002,8
26,53046,8
27,144371,8
28,20106,8
29,110492,8
30,90881,8
31,172467,8
32,9552,8
33,76820,8
34,147409,8
35,118917,8
36,27781,8
37,31925,8
38,27912,8
39,82841,8
40,140389,8
41,45302,8
42,53017,8
43,78797,8
44,144085,8
45,143616,8
46,67153,8
47,116221,8
48,175543,8
49,175696,8
50,119447,8
51,122427,8
52,18168,8
53,109193,8
54,91701,8
55,121093,8
56,158764,8
57,115443,8
58,12196,8
59,44470,8
60,109454,8
61,181587,8
62,13015,8
63,21127,8
64,155011,8
65,136561,8
66,36563,8
67,69109,8
68,60483,8
69,178306,8
70,149653,8
71,54552,8
72,86219,8
73,179207,8
74,180423,8
75,183801,8
76,163228,8
77,78784,8
78,25249,8
79,54133,8
80,9738,8
81,123971,8
82,41482,8
83,140259,8
84,137765,8
85,185864,8
86,12379,8
87,19506,8
88,48287,8
89,27473,8
90,179573,8
91,19594,8
92,49052,8
93,54649,8
94,156825,8
95,29987,7
96,90771,7
97,187398,7
98,135901,7
99,45907,7
100,124982,7
101,151401,7
102,69889,7
103,47776,7
104,160396,7
105,74131,7
106,183353,7
107,176230,7
108,190427,7
109,581,7
110,52566,7
111,180898,7
112,39070,7
113,130692,7
114,172313,7
115,58643,7
116,113820,7
117,157204,7
118,110453,7
119,150988,7
120,585,7
121,96293,7
122,166950,7
123,51085,7
124,76966,7
125,72038,7
126,148294,7
127,162612,7
128,13146,7
129,176883,7
130,106626,7
131,53145,7
132,140689,7
133,57249,7
134,29817,7
135,74310,7
136,41383,7
137,130407,7
138,33948,7
139,16220,7
140,178935,7
141,154079,7
142,167750,7
143,141733,7
144,11612,7
145,167808,7
146,140874,7
147,103117,7
148,81805,7
149,39152,7
150,83734,7
151,145245,7
152,118759,7
153,141361,7
154,135323,7
155,48873,7
156,173653,7
157,37578,7
158,164985,7
159,157562,7
160,64674,7
161,16092,7
162,89996,7
163,160939,7
164,103328,7
165,88758,7
166,129644,7
167,5997,7
168,74928,7
169,48795,7
170,121763,7
171,58197,7
172,82449,7
173,87554,7
174,93093,7
175,151195,7
176,144413,7
177,95924,7
178,164049,7
179,24169,7
180,111761,7
181,128720,7
182,84060,7
183,115370,7
184,4927,7
185,95714,7
186,161412,7
187,55363,7
188,133468,7
189,119729,7
190,69542,7
191,142130,7
192,20921,7
193,177798,7
194,56744,7
195,141476,7
196,9289,7
197,145910,7
198,99328,7
199,182425,7
200,106723,7
201,158032,7
202,72976,7
203,88541,7
204,170911,7
205,89350,7
206,125784,7
207,38243,7
208,39645,7
209,187405,7
210,80931,7
211,173358,7
212,8336,7
213,45014,7
214,158343,7
215,38387,7
216,55715,7
217,113489,7
218,167272,7
219,33249,7
220,103956,7
221,1124,7
222,185099,7
223,44349,7
224,114020,7
225,32335,7
226,149051,7
227,23488,7
228,23551,7
229,150722,7
230,150474,7
231,171809,7
232,3551,7
233,126374,7
234,16658,7
235,25585,7
236,75048,7
237,68004,7
238,163092,7
239,67941,7
240,128404,7
241,77140,7
242,158936,7
243,9003,7
244,133624,7
245,13445,7
246,69713,7
247,179076,7
248,101979,7
249,25884,7
250,77453,7
251,183888,7
252,174754,7
253,180711,6
254,110560,6
255,171407,6
256,144575,6
257,144976,6
258,186711,6
259,113173,6
260,156069,6
261,83380,6
262,28509,6
263,118326,6
264,144182,6
265,162256,6
266,105721,6
267,113794,6
268,60491,6
269,67749,6
270,167263,6
271,70024,6
272,15967,6
273,160849,6
274,175501,6
275,95410,6
276,49431,6
277,187095,6
278,108757,6
279,52856,6
280,97955,6
281,7936,6
282,160843,6
283,141904,6
284,36217,6
285,115797,6
286,85961,6
287,163323,6
288,20655,6
289,189108,6
290,54957,6
291,112798,6
292,165104,6
293,154496,6
294,174980,6
295,63278,6
296,33920,6
297,42454,6
298,174331,6
299,149939,6
300,185032,6
301,86901,6
302,186048,6
303,45069,6
304,100919,6
305,111639,6
306,85155,6
307,57663,6
308,52551,6
309,55442,6
310,17390,6
311,92373,6
312,89270,6
313,27936,6
314,105353,6
