,node_area,number_reachable
0,140507,57
1,97768,57
2,177764,57
3,156786,57
4,171531,55
5,161846,55
6,128189,55
7,149444,55
8,59244,55
9,157658,55
10,168968,55
11,79709,55
12,178319,54
13,132423,54
14,31597,54
15,186155,54
16,56097,54
17,166542,54
18,33463,54
19,833,54
20,107711,54
21,80786,54
22,113516,54
23,140230,54
24,45402,53
25,168274,53
26,153789,53
27,158786,53
28,90775,53
29,114227,53
30,175645,53
31,57361,53
32,117367,53
33,16234,53
34,54196,53
35,105114,53
36,67749,53
37,111761,53
38,166990,53
39,87554,53
40,83170,53
41,40883,53
42,120738,53
43,130308,53
44,127393,53
45,166364,53
46,30202,53
47,116550,53
48,139361,53
49,97453,53
50,34667,53
51,173716,53
52,65447,53
53,31951,53
54,116740,53
55,80741,52
56,11873,52
57,33920,52
58,44933,52
59,70786,52
60,52513,52
61,91400,52
62,188536,52
63,115370,52
64,75008,52
65,50785,52
66,143777,52
67,66782,52
68,156890,52
69,164339,52
70,3797,52
71,9295,52
72,153446,52
73,90267,52
74,185546,52
75,36388,52
76,84296,52
77,165741,52
78,186753,52
79,134628,52
80,104569,52
81,99876,52
82,157710,52
83,63272,52
84,125759,52
85,142405,52
86,18785,52
87,92126,52
88,121745,52
89,90717,52
90,180209,52
91,90479,52
92,91967,52
93,101313,52
94,141211,52
95,916,52
96,11107,52
97,31966,52
98,145152,52
99,60812,52
100,73047,52
101,94959,52
102,172313,52
103,163393,52
104,39070,52
105,36222,52
106,165167,52
107,149702,52
108,47745,52
109,121009,52
110,100336,52
111,160549,52
112,34920,52
113,76647,52
114,15715,52
115,93492,52
116,60293,52
117,73598,52
118,66608,52
119,164301,52
120,119021,52
121,186164,52
122,48484,52
123,169501,52
124,15967,52
125,20343,51
126,63174,51
127,90859,51
128,145108,51
129,3633,51
130,74076,51
131,186330,51
132,69811,51
133,24726,51
134,187020,51
135,83262,51
136,158317,51
137,63892,51
138,39645,51
139,91425,51
140,34889,51
141,145552,51
142,68308,51
143,158854,51
144,92810,51
145,161412,51
146,178095,51
147,62439,51
148,37055,51
149,186132,51
150,144670,51
151,137658,51
152,116012,51
153,81098,51
154,59416,51
155,110641,51
156,161077,51
157,81315,51
158,19830,51
159,177336,51
160,75739,51
161,46040,51
162,154450,51
163,35623,51
164,152320,51
165,6137,51
166,122410,51
167,57980,51
168,112104,51
169,143899,51
170,177682,51
171,87343,51
172,105772,51
173,166628,51
174,161483,51
175,163551,51
176,85961,51
177,54325,51
178,93102,51
179,138551,51
180,127416,51
181,118888,51
182,46700,51
183,97053,51
184,83153,51
185,183490,51
186,140056,51
187,114785,51
188,79437,51
189,22730,51
190,129585,51
191,4317,51
192,141960,51
193,98784,51
194,85029,51
195,141803,51
196,176678,51
197,136025,51
198,49187,51
199,99863,51
200,169287,51
201,99006,51
202,24345,51
203,27089,51
204,89074,51
205,105557,51
206,154551,51
207,105874,51
208,47947,51
209,185749,51
210,128789,51
211,98395,51
212,76683,51
213,143574,51
214,3363,51
215,104373,51
216,17117,51
217,186576,51
218,102807,51
219,145303,51
220,186622,51
221,106128,51
222,144286,51
223,3088,51
224,156223,51
225,167934,51
226,27091,51
227,183311,51
228,4201,51
229,89028,51
230,184912,51
231,50645,51
232,165818,51
233,53853,51
234,95496,51
235,37526,51
236,190322,51
237,133051,51
238,98259,51
239,20373,51
240,181348,51
241,27615,51
242,145828,51
243,124841,51
244,39562,51
245,97709,51
246,63848,51
247,185865,51
248,120250,51
249,43689,51
250,16220,51
251,8333,51
252,17742,51
253,21105,51
254,180429,51
255,60155,51
256,174980,51
257,103506,51
258,114143,51
259,79681,51
260,19637,51
261,11308,51
262,20836,51
263,3668,51
264,30040,51
265,153708,51
266,140101,51
267,173281,50
268,85798,50
269,20707,50
270,97386,50
271,92320,50
272,141451,50
273,160110,50
274,68336,50
275,68332,50
276,109214,50
277,169677,50
278,132648,50
279,1566,50
280,87989,50
281,68187,50
282,126547,50
283,30873,50
284,179341,50
285,122614,50
286,116870,50
287,71284,50
288,35876,50
289,17390,50
290,177591,50
291,135372,50
292,180514,50
293,23786,50
294,103482,50
295,187347,50
296,87233,50
297,16092,50
298,118638,50
299,144249,50
300,153930,50
301,76440,50
302,125320,50
303,166305,50
304,103366,50
305,98954,50
306,134185,50
307,46081,50
308,147173,50
309,17849,50
310,125316,50
311,58195,50
312,119464,50
313,24826,50
314,150202,50
315,20296,50
316,182537,50
317,81824,50
318,96743,50
319,166812,50
320,169200,50
321,17769,50
322,176411,50
323,144615,50
324,314,50
325,146227,50
326,173165,50
327,25884,50
328,18070,50
329,115463,50
330,121969,50
331,69229,50
332,6975,50
333,117273,50
334,189648,50
335,48044,50
336,84707,50
337,50815,50
338,119773,50
339,133701,50
340,164209,50
341,122105,50
342,49431,50
343,113419,50
344,128943,50
345,92590,50
346,125200,50
347,165089,50
348,92055,50
349,133786,50
350,151863,50
351,121765,50
352,108269,50
353,77052,50
354,41514,50
355,140046,50
356,100917,50
357,131446,50
358,166950,50
359,140289,50
360,40778,50
361,78596,50
362,152847,50
363,187155,50
364,21273,50
365,39581,50
366,22393,50
367,156116,50
368,86490,50
369,10750,50
370,35988,50
371,89079,50
372,112335,50
373,141703,50
374,84133,50
375,37174,50
376,56966,50
377,108697,50
378,158652,50
379,85537,50
380,166388,50
381,146343,50
382,11257,50
383,7262,50
384,174470,50
385,165469,50
386,69556,50
387,65036,50
388,87022,50
389,165289,50
390,14113,50
391,18154,50
392,66137,50
393,118326,50
394,169667,50
395,172290,50
396,94190,50
397,166397,50
398,94635,50
399,48812,50
400,84559,50
401,132202,50
402,147785,50
403,127544,50
404,58968,50
405,117912,50
406,74649,50
407,88545,50
408,33366,50
409,17890,50
410,1952,50
411,43499,50
412,172329,50
